episode|worker_id|eplen|score|ts
0|1|17|17.0|2024-03-21 12:48:08.224370
1|1|11|11.0|2024-03-21 12:48:08.777532
2|0|31|31.0|2024-03-21 12:48:08.929287
3|0|14|14.0|2024-03-21 12:48:09.629318
4|1|28|28.0|2024-03-21 12:48:10.178818
5|1|14|14.0|2024-03-21 12:48:10.868408
6|0|27|27.0|2024-03-21 12:48:10.964690
7|1|10|10.0|2024-03-21 12:48:11.350843
8|0|9|9.0|2024-03-21 12:48:11.399394
9|0|31|31.0|2024-03-21 12:48:12.916921
10|0|12|12.0|2024-03-21 12:48:13.494734
11|0|10|10.0|2024-03-21 12:48:13.974756
12|0|10|10.0|2024-03-21 12:48:14.455378
13|1|70|70.0|2024-03-21 12:48:14.747747
14|1|9|9.0|2024-03-21 12:48:15.189860
15|0|24|24.0|2024-03-21 12:48:15.630085
16|1|15|15.0|2024-03-21 12:48:15.925772
17|1|16|16.0|2024-03-21 12:48:16.714557
18|0|23|23.0|2024-03-21 12:48:16.765358
19|0|11|11.0|2024-03-21 12:48:17.307868
20|1|21|21.0|2024-03-21 12:48:17.754459
21|0|14|14.0|2024-03-21 12:48:18.000396
22|1|24|24.0|2024-03-21 12:48:18.932521
23|0|27|27.0|2024-03-21 12:48:19.327425
24|0|27|27.0|2024-03-21 12:48:54.192948
25|1|35|35.0|2024-03-21 12:48:54.194624
26|0|13|13.0|2024-03-21 12:48:54.851192
27|1|19|19.0|2024-03-21 12:48:55.154659
28|0|9|9.0|2024-03-21 12:48:55.306190
29|0|31|31.0|2024-03-21 12:48:56.873282
30|0|14|14.0|2024-03-21 12:48:57.579780
31|1|49|49.0|2024-03-21 12:48:57.631130
32|1|10|10.0|2024-03-21 12:48:58.134331
33|0|18|18.0|2024-03-21 12:48:58.487710
34|0|10|10.0|2024-03-21 12:48:58.995663
35|1|19|19.0|2024-03-21 12:48:59.097420
36|0|12|12.0|2024-03-21 12:48:59.603669
37|1|11|11.0|2024-03-21 12:48:59.655589
38|1|18|18.0|2024-03-21 12:49:00.567784
39|0|41|41.0|2024-03-21 12:49:01.679607
40|0|16|16.0|2024-03-21 12:49:02.490394
41|0|10|10.0|2024-03-21 12:49:02.996590
42|1|49|49.0|2024-03-21 12:49:03.048361
43|1|17|17.0|2024-03-21 12:49:03.911083
44|0|32|32.0|2024-03-21 12:49:04.621431
45|1|29|29.0|2024-03-21 12:49:05.384085
46|0|20|20.0|2024-03-21 12:49:05.637922
47|1|15|15.0|2024-03-21 12:49:38.453432
48|0|13|13.0|2024-03-21 12:49:38.606271
49|0|18|18.0|2024-03-21 12:49:39.522093
50|1|25|25.0|2024-03-21 12:49:39.725180
51|0|13|13.0|2024-03-21 12:49:40.182553
52|1|23|23.0|2024-03-21 12:49:40.892497
53|0|26|26.0|2024-03-21 12:49:41.502281
54|1|25|25.0|2024-03-21 12:49:42.158827
55|0|19|19.0|2024-03-21 12:49:42.466071
56|1|19|19.0|2024-03-21 12:49:43.123096
57|1|14|14.0|2024-03-21 12:49:43.843536
58|0|39|39.0|2024-03-21 12:49:44.452191
59|0|20|20.0|2024-03-21 12:49:45.455131
60|1|36|36.0|2024-03-21 12:49:45.655874
61|0|22|22.0|2024-03-21 12:49:46.554837
62|0|16|16.0|2024-03-21 12:49:47.339258
63|1|54|54.0|2024-03-21 12:49:48.314278
64|1|10|10.0|2024-03-21 12:49:48.798719
65|0|46|46.0|2024-03-21 12:49:49.577134
66|1|24|24.0|2024-03-21 12:49:49.990408
67|0|13|13.0|2024-03-21 12:49:50.252697
68|0|12|12.0|2024-03-21 12:50:23.508161
69|1|32|32.0|2024-03-21 12:50:24.268585
70|0|40|40.0|2024-03-21 12:50:25.538844
71|1|26|26.0|2024-03-21 12:50:25.591827
72|0|14|14.0|2024-03-21 12:50:26.252060
73|0|12|12.0|2024-03-21 12:50:26.861293
74|1|32|32.0|2024-03-21 12:50:27.220555
75|1|17|17.0|2024-03-21 12:50:28.079941
76|0|33|33.0|2024-03-21 12:50:28.537067
77|1|26|26.0|2024-03-21 12:50:29.400367
78|0|23|23.0|2024-03-21 12:50:29.706239
79|0|17|17.0|2024-03-21 12:50:30.576269
80|0|18|18.0|2024-03-21 12:50:31.501462
81|1|44|44.0|2024-03-21 12:50:31.655811
82|0|15|15.0|2024-03-21 12:50:32.270627
83|0|17|17.0|2024-03-21 12:50:33.137073
84|1|44|44.0|2024-03-21 12:50:33.910776
85|0|22|22.0|2024-03-21 12:50:34.287181
86|1|20|20.0|2024-03-21 12:50:34.966345
87|0|24|24.0|2024-03-21 12:50:35.543037
88|1|16|16.0|2024-03-21 12:50:35.803620
89|0|22|22.0|2024-03-21 12:51:09.234123
90|1|27|27.0|2024-03-21 12:51:09.745656
91|0|20|20.0|2024-03-21 12:51:10.257085
92|1|17|17.0|2024-03-21 12:51:10.615927
93|1|11|11.0|2024-03-21 12:51:11.177513
94|1|17|17.0|2024-03-21 12:51:12.045705
95|0|37|37.0|2024-03-21 12:51:12.148630
96|1|21|21.0|2024-03-21 12:51:13.113505
97|0|27|27.0|2024-03-21 12:51:13.521794
98|1|14|14.0|2024-03-21 12:51:13.827680
99|0|18|18.0|2024-03-21 12:51:14.429206
100|1|15|15.0|2024-03-21 12:51:14.687613
101|1|20|20.0|2024-03-21 12:51:15.732500
102|0|27|27.0|2024-03-21 12:51:15.948496
103|1|12|12.0|2024-03-21 12:51:16.346844
104|1|11|11.0|2024-03-21 12:51:16.891780
105|0|21|21.0|2024-03-21 12:51:16.991256
106|1|14|14.0|2024-03-21 12:51:17.585300
107|1|16|16.0|2024-03-21 12:51:18.418279
108|0|29|29.0|2024-03-21 12:51:18.469966
