episode|worker_id|eplen|score|ts
0|0|11|11.0|2024-03-21 12:48:07.936462
1|0|10|10.0|2024-03-21 12:48:08.430216
2|1|39|39.0|2024-03-21 12:48:09.311657
3|0|20|20.0|2024-03-21 12:48:09.409136
4|1|11|11.0|2024-03-21 12:48:09.841104
5|0|23|23.0|2024-03-21 12:48:10.513790
6|1|14|14.0|2024-03-21 12:48:10.515069
7|1|13|13.0|2024-03-21 12:48:11.140793
8|0|14|14.0|2024-03-21 12:48:11.189701
9|1|14|14.0|2024-03-21 12:48:11.816360
10|0|15|15.0|2024-03-21 12:48:11.912900
11|1|11|11.0|2024-03-21 12:48:12.346271
12|0|10|10.0|2024-03-21 12:48:12.395519
13|0|12|12.0|2024-03-21 12:48:12.973880
14|0|18|18.0|2024-03-21 12:48:13.841105
15|1|35|35.0|2024-03-21 12:48:14.035046
16|0|13|13.0|2024-03-21 12:48:14.469873
17|1|10|10.0|2024-03-21 12:48:14.518833
18|1|19|19.0|2024-03-21 12:48:15.436591
19|0|24|24.0|2024-03-21 12:48:15.629447
20|1|15|15.0|2024-03-21 12:48:16.158340
21|1|19|19.0|2024-03-21 12:48:17.081686
22|0|37|37.0|2024-03-21 12:48:17.417993
23|0|26|26.0|2024-03-21 12:48:18.673770
24|1|41|41.0|2024-03-21 12:48:19.060527
25|1|13|13.0|2024-03-21 12:48:51.946911
26|0|36|36.0|2024-03-21 12:48:52.710170
27|1|22|22.0|2024-03-21 12:48:53.064368
28|0|30|30.0|2024-03-21 12:48:54.230964
29|1|25|25.0|2024-03-21 12:48:54.333687
30|0|19|19.0|2024-03-21 12:48:55.193912
31|0|19|19.0|2024-03-21 12:48:56.149241
32|0|13|13.0|2024-03-21 12:48:56.805421
33|1|58|58.0|2024-03-21 12:48:57.261979
34|0|17|17.0|2024-03-21 12:48:57.665101
35|1|9|9.0|2024-03-21 12:48:57.717056
36|1|14|14.0|2024-03-21 12:48:58.421582
37|1|10|10.0|2024-03-21 12:48:58.928244
38|0|37|37.0|2024-03-21 12:48:59.533036
39|1|17|17.0|2024-03-21 12:48:59.791877
40|0|11|11.0|2024-03-21 12:49:00.093884
41|1|13|13.0|2024-03-21 12:49:00.449632
42|0|18|18.0|2024-03-21 12:49:01.004068
43|1|24|24.0|2024-03-21 12:49:01.660348
44|0|17|17.0|2024-03-21 12:49:01.864782
45|0|14|14.0|2024-03-21 12:49:02.570581
46|1|18|18.0|2024-03-21 12:49:02.572046
47|0|9|9.0|2024-03-21 12:49:03.028305
48|1|23|23.0|2024-03-21 12:49:03.735068
49|0|26|26.0|2024-03-21 12:49:04.341807
50|1|12|12.0|2024-03-21 12:49:04.343403
51|0|13|13.0|2024-03-21 12:49:36.916396
52|1|17|17.0|2024-03-21 12:49:37.120748
53|1|24|24.0|2024-03-21 12:49:38.337872
54|0|33|33.0|2024-03-21 12:49:38.592900
55|0|10|10.0|2024-03-21 12:49:39.105653
56|1|19|19.0|2024-03-21 12:49:39.310441
57|0|13|13.0|2024-03-21 12:49:39.768509
58|1|39|39.0|2024-03-21 12:49:41.291333
59|0|36|36.0|2024-03-21 12:49:41.596618
60|0|14|14.0|2024-03-21 12:49:42.306813
61|1|20|20.0|2024-03-21 12:49:42.308506
62|1|15|15.0|2024-03-21 12:49:43.070532
63|0|20|20.0|2024-03-21 12:49:43.326618
64|1|13|13.0|2024-03-21 12:49:43.735253
65|0|11|11.0|2024-03-21 12:49:43.888230
66|0|19|19.0|2024-03-21 12:49:44.847349
67|0|14|14.0|2024-03-21 12:49:45.560344
68|0|13|13.0|2024-03-21 12:49:46.221580
