episode|worker_id|eplen|score|ts
0|1|12|12.0|2024-03-20 15:46:41.014969
1|0|15|15.0|2024-03-20 15:46:41.200232
2|0|19|19.0|2024-03-20 15:46:42.321348
3|1|22|22.0|2024-03-20 15:46:42.322838
4|1|14|14.0|2024-03-20 15:46:43.170957
5|0|18|18.0|2024-03-20 15:46:43.425044
6|1|19|19.0|2024-03-20 15:46:44.417754
7|0|28|28.0|2024-03-20 15:46:45.311746
8|0|15|15.0|2024-03-20 15:46:46.419980
9|1|44|44.0|2024-03-20 15:46:47.507145
10|1|20|20.0|2024-03-20 15:46:48.840234
11|1|16|16.0|2024-03-20 15:46:49.905658
12|0|54|54.0|2024-03-20 15:46:50.034195
13|0|12|12.0|2024-03-20 15:46:50.866270
14|0|13|13.0|2024-03-20 15:46:51.762538
15|1|27|27.0|2024-03-20 15:46:51.768577
16|0|13|13.0|2024-03-20 15:46:52.696277
17|1|13|13.0|2024-03-20 15:46:52.698910
18|1|9|9.0|2024-03-20 15:46:53.330629
19|0|17|17.0|2024-03-20 15:46:53.859271
20|0|10|10.0|2024-03-20 15:46:54.486374
21|1|27|27.0|2024-03-20 15:46:55.052531
22|0|14|14.0|2024-03-20 15:46:55.367388
23|0|12|12.0|2024-03-20 15:46:56.138320
24|0|14|14.0|2024-03-20 15:47:52.989930
25|1|33|33.0|2024-03-20 15:47:53.109290
26|1|13|13.0|2024-03-20 15:47:53.890593
27|1|15|15.0|2024-03-20 15:47:54.816811
28|1|12|12.0|2024-03-20 15:47:55.524779
29|0|45|45.0|2024-03-20 15:47:55.702077
30|0|12|12.0|2024-03-20 15:47:56.424223
31|1|17|17.0|2024-03-20 15:47:56.539407
32|1|17|17.0|2024-03-20 15:47:57.609324
33|0|22|22.0|2024-03-20 15:47:57.801050
34|1|14|14.0|2024-03-20 15:47:58.539209
35|1|13|13.0|2024-03-20 15:47:59.338433
36|0|34|34.0|2024-03-20 15:47:59.914615
37|1|22|22.0|2024-03-20 15:48:00.594242
38|1|13|13.0|2024-03-20 15:48:01.346560
39|0|48|48.0|2024-03-20 15:48:02.766918
40|0|10|10.0|2024-03-20 15:48:03.391601
41|1|46|46.0|2024-03-20 15:48:04.161505
42|0|18|18.0|2024-03-20 15:48:04.465707
43|1|18|18.0|2024-03-20 15:48:05.241595
44|0|19|19.0|2024-03-20 15:48:05.601898
45|0|13|13.0|2024-03-20 15:48:06.381259
46|1|20|20.0|2024-03-20 15:48:06.444074
47|1|12|12.0|2024-03-20 15:48:07.134442
48|0|27|27.0|2024-03-20 15:48:55.585878
49|1|24|24.0|2024-03-20 15:48:56.289700
50|0|14|14.0|2024-03-20 15:48:56.548434
51|0|12|12.0|2024-03-20 15:48:57.318985
52|1|18|18.0|2024-03-20 15:48:57.439639
53|1|19|19.0|2024-03-20 15:48:58.637982
54|1|17|17.0|2024-03-20 15:48:59.708204
55|0|46|46.0|2024-03-20 15:49:00.200436
56|1|14|14.0|2024-03-20 15:49:00.618831
57|0|12|12.0|2024-03-20 15:49:01.036027
58|0|10|10.0|2024-03-20 15:49:01.676780
59|1|19|19.0|2024-03-20 15:49:01.871498
60|1|15|15.0|2024-03-20 15:49:02.829788
61|1|23|23.0|2024-03-20 15:49:04.260659
