episode|worker_id|eplen|score|ts
0|1|15|15.0|2024-03-20 15:46:39.751871
1|0|23|23.0|2024-03-20 15:46:40.247056
2|0|38|38.0|2024-03-20 15:46:42.493814
3|1|63|63.0|2024-03-20 15:46:43.548134
4|0|23|23.0|2024-03-20 15:46:43.930295
5|1|10|10.0|2024-03-20 15:46:44.184195
6|0|14|14.0|2024-03-20 15:46:44.787738
7|1|12|12.0|2024-03-20 15:46:44.907814
8|0|20|20.0|2024-03-20 15:46:45.986278
9|1|37|37.0|2024-03-20 15:46:47.212885
10|0|29|29.0|2024-03-20 15:46:47.855667
11|1|28|28.0|2024-03-20 15:46:48.960087
12|1|19|19.0|2024-03-20 15:46:50.194232
13|0|41|41.0|2024-03-20 15:46:50.441464
14|1|12|12.0|2024-03-20 15:46:50.959433
15|1|12|12.0|2024-03-20 15:46:51.705494
16|0|29|29.0|2024-03-20 15:46:52.299594
17|0|9|9.0|2024-03-20 15:46:52.865029
18|1|24|24.0|2024-03-20 15:46:53.234607
19|0|18|18.0|2024-03-20 15:46:53.990394
20|1|19|19.0|2024-03-20 15:47:43.543618
21|0|13|13.0|2024-03-20 15:47:43.898167
22|1|8|8.0|2024-03-20 15:47:44.011798
23|0|13|13.0|2024-03-20 15:47:44.667966
24|1|22|22.0|2024-03-20 15:47:45.310374
25|0|17|17.0|2024-03-20 15:47:45.650379
26|1|16|16.0|2024-03-20 15:47:46.235070
27|0|16|16.0|2024-03-20 15:47:46.628033
28|0|15|15.0|2024-03-20 15:47:47.552601
29|1|28|28.0|2024-03-20 15:47:47.981623
30|0|14|14.0|2024-03-20 15:47:48.403919
31|1|25|25.0|2024-03-20 15:47:49.506027
32|0|21|21.0|2024-03-20 15:47:49.703583
33|1|12|12.0|2024-03-20 15:47:50.231794
34|0|16|16.0|2024-03-20 15:47:50.640631
35|1|11|11.0|2024-03-20 15:47:50.871488
36|0|16|16.0|2024-03-20 15:47:51.580288
37|1|35|35.0|2024-03-20 15:47:52.972271
38|0|31|31.0|2024-03-20 15:47:53.480682
39|1|13|13.0|2024-03-20 15:47:53.800367
40|0|11|11.0|2024-03-20 15:47:54.192243
41|1|15|15.0|2024-03-20 15:47:54.736912
42|0|22|22.0|2024-03-20 15:47:55.526773
43|0|13|13.0|2024-03-20 15:47:56.328072
