episode|worker_id|eplen|score|ts
0|1|9|9.0|2024-05-23 23:16:10.909209
1|0|22|22.0|2024-05-23 23:16:12.148381
2|1|17|17.0|2024-05-23 23:16:12.516806
3|0|22|22.0|2024-05-23 23:16:14.202021
4|1|20|20.0|2024-05-23 23:16:14.425517
5|0|37|37.0|2024-05-23 23:16:17.869496
6|1|66|66.0|2024-05-23 23:16:20.498631
7|1|23|23.0|2024-05-23 23:16:22.575968
8|0|62|62.0|2024-05-23 23:16:23.305103
9|1|22|22.0|2024-05-23 23:16:24.695924
10|0|27|27.0|2024-05-23 23:16:25.814189
11|1|25|25.0|2024-05-23 23:16:27.011790
12|0|23|23.0|2024-05-23 23:16:28.126199
13|0|17|17.0|2024-05-23 23:16:29.579669
14|0|14|14.0|2024-05-23 23:16:30.741221
15|1|44|44.0|2024-05-23 23:16:30.927964
16|1|13|13.0|2024-05-23 23:16:32.151352
17|0|19|19.0|2024-05-23 23:16:32.525033
18|0|12|12.0|2024-05-23 23:16:33.639533
19|1|28|28.0|2024-05-23 23:16:34.752647
20|0|18|18.0|2024-05-23 23:16:35.349632
21|1|21|21.0|2024-05-23 23:16:36.639342
22|1|17|17.0|2024-05-23 23:16:37.984492
23|0|34|34.0|2024-05-23 23:16:38.216593
24|1|24|24.0|2024-05-23 23:16:39.989904
25|0|26|26.0|2024-05-23 23:16:40.498154
26|1|15|15.0|2024-05-23 23:16:41.446254
27|1|16|16.0|2024-05-23 23:16:42.791408
28|0|29|29.0|2024-05-23 23:16:42.957618
29|0|15|15.0|2024-05-23 23:16:44.308801
30|0|21|21.0|2024-05-23 23:16:46.155894
31|0|14|14.0|2024-05-23 23:16:47.414490
32|1|61|61.0|2024-05-23 23:16:48.114670
33|0|17|17.0|2024-05-23 23:16:48.748539
34|0|12|12.0|2024-05-23 23:16:49.626557
35|1|21|21.0|2024-05-23 23:16:49.706409
36|0|15|15.0|2024-05-23 23:16:51.045223
37|1|17|17.0|2024-05-23 23:16:51.320503
38|0|22|22.0|2024-05-23 23:16:53.088465
39|0|13|13.0|2024-05-23 23:16:54.169443
40|1|32|32.0|2024-05-23 23:16:54.176438
41|1|17|17.0|2024-05-23 23:16:55.775395
42|1|12|12.0|2024-05-23 23:16:56.876862
43|1|15|15.0|2024-05-23 23:16:58.110374
44|0|57|57.0|2024-05-23 23:16:59.208524
45|1|16|16.0|2024-05-23 23:16:59.445956
46|1|14|14.0|2024-05-23 23:17:00.767443
47|0|24|24.0|2024-05-23 23:17:01.469207
48|0|14|14.0|2024-05-23 23:17:02.688080
49|1|38|38.0|2024-05-23 23:17:04.348198
50|0|27|27.0|2024-05-23 23:17:05.398984
