episode|worker_id|eplen|score|ts
0|0|13|13.0|2024-05-23 23:16:14.969733
1|1|20|20.0|2024-05-23 23:16:15.648996
2|0|18|18.0|2024-05-23 23:16:16.607759
3|1|24|24.0|2024-05-23 23:16:17.778896
4|0|19|19.0|2024-05-23 23:16:18.377474
5|0|15|15.0|2024-05-23 23:16:19.660201
6|1|24|24.0|2024-05-23 23:16:19.953997
7|0|11|11.0|2024-05-23 23:16:20.741448
8|1|13|13.0|2024-05-23 23:16:21.215472
9|0|10|10.0|2024-05-23 23:16:21.733852
10|1|21|21.0|2024-05-23 23:16:23.074538
11|0|25|25.0|2024-05-23 23:16:24.073058
12|1|14|14.0|2024-05-23 23:16:24.525986
13|0|12|12.0|2024-05-23 23:16:24.988445
14|1|20|20.0|2024-05-23 23:16:26.008731
15|0|34|34.0|2024-05-23 23:16:27.771275
16|0|31|31.0|2024-05-23 23:16:30.346770
17|1|60|60.0|2024-05-23 23:16:30.980948
18|0|11|11.0|2024-05-23 23:16:31.252407
19|0|24|24.0|2024-05-23 23:16:33.570929
20|1|33|33.0|2024-05-23 23:16:34.021426
21|1|19|19.0|2024-05-23 23:16:35.583100
22|0|31|31.0|2024-05-23 23:16:36.102438
23|0|14|14.0|2024-05-23 23:16:37.260067
24|1|25|25.0|2024-05-23 23:16:37.760301
25|0|19|19.0|2024-05-23 23:16:39.523823
26|1|18|18.0|2024-05-23 23:16:39.877692
27|1|12|12.0|2024-05-23 23:16:41.022783
28|0|18|18.0|2024-05-23 23:16:41.238708
29|1|16|16.0|2024-05-23 23:16:42.423602
30|0|16|16.0|2024-05-23 23:16:42.634995
31|1|12|12.0|2024-05-23 23:16:43.770609
32|0|28|28.0|2024-05-23 23:16:45.184289
33|1|36|36.0|2024-05-23 23:16:46.801979
34|0|26|26.0|2024-05-23 23:16:47.445326
35|0|9|9.0|2024-05-23 23:16:48.196891
36|1|29|29.0|2024-05-23 23:16:49.070461
37|0|16|16.0|2024-05-23 23:16:49.371227
38|1|16|16.0|2024-05-23 23:16:50.399462
39|0|13|13.0|2024-05-23 23:16:50.493176
40|1|14|14.0|2024-05-23 23:16:51.708972
41|1|17|17.0|2024-05-23 23:16:53.185119
42|0|36|36.0|2024-05-23 23:16:53.683978
43|1|20|20.0|2024-05-23 23:16:54.947918
44|0|16|16.0|2024-05-23 23:16:55.092677
45|1|31|31.0|2024-05-23 23:16:57.607694
46|0|47|47.0|2024-05-23 23:16:58.963917
47|1|27|27.0|2024-05-23 23:16:59.897195
48|0|23|23.0|2024-05-23 23:17:01.012433
49|1|40|40.0|2024-05-23 23:17:03.151364
50|1|14|14.0|2024-05-23 23:17:04.719011
51|0|43|43.0|2024-05-23 23:17:04.979888
52|0|12|12.0|2024-05-23 23:17:06.148325
53|1|18|18.0|2024-05-23 23:17:06.387671
54|1|12|12.0|2024-05-23 23:17:07.449983
55|0|16|16.0|2024-05-23 23:17:07.535836
56|1|14|14.0|2024-05-23 23:17:08.551855
57|0|18|18.0|2024-05-23 23:17:08.908487
58|0|14|14.0|2024-05-23 23:17:10.082587
59|1|22|22.0|2024-05-23 23:17:10.314118
60|0|9|9.0|2024-05-23 23:17:10.891813
61|1|13|13.0|2024-05-23 23:17:11.449504
62|0|13|13.0|2024-05-23 23:17:12.013877
63|0|16|16.0|2024-05-23 23:17:13.362265
64|1|22|22.0|2024-05-23 23:17:13.368073
65|1|24|24.0|2024-05-23 23:17:15.431222
66|0|25|25.0|2024-05-23 23:17:15.512277
67|1|13|13.0|2024-05-23 23:17:16.584275
68|0|18|18.0|2024-05-23 23:17:17.148720
69|0|18|18.0|2024-05-23 23:17:18.788047
70|1|38|38.0|2024-05-23 23:17:20.041886
71|1|11|11.0|2024-05-23 23:17:21.155972
72|1|16|16.0|2024-05-23 23:17:22.593935
73|0|42|42.0|2024-05-23 23:17:22.680595
74|0|12|12.0|2024-05-23 23:17:23.769226
75|0|11|11.0|2024-05-23 23:17:25.012349
76|0|11|11.0|2024-05-23 23:17:25.839437
77|0|13|13.0|2024-05-23 23:17:26.923744
78|0|14|14.0|2024-05-23 23:17:28.048173
79|1|79|79.0|2024-05-23 23:17:29.479187
80|1|9|9.0|2024-05-23 23:17:30.195444
81|0|40|40.0|2024-05-23 23:17:31.437181
82|1|17|17.0|2024-05-23 23:17:31.671513
83|0|12|12.0|2024-05-23 23:17:32.345309
84|0|16|16.0|2024-05-23 23:17:33.657079
85|0|28|28.0|2024-05-23 23:17:36.201096
86|1|70|70.0|2024-05-23 23:17:37.594580
87|0|19|19.0|2024-05-23 23:17:37.739331
88|1|17|17.0|2024-05-23 23:17:39.016154
89|1|17|17.0|2024-05-23 23:17:40.434849
90|1|18|18.0|2024-05-23 23:41:04.209772
91|0|60|60.0|2024-05-23 23:41:04.932133
92|1|19|19.0|2024-05-23 23:41:05.514366
93|0|17|17.0|2024-05-23 23:41:06.184138
94|1|16|16.0|2024-05-23 23:41:06.833468
95|0|24|24.0|2024-05-23 23:41:08.064198
96|1|30|30.0|2024-05-23 23:41:09.198476
97|0|17|17.0|2024-05-23 23:41:09.436573
98|1|17|17.0|2024-05-23 23:41:10.462529
99|1|15|15.0|2024-05-23 23:41:11.458953
100|0|35|35.0|2024-05-23 23:41:12.542861
101|1|15|15.0|2024-05-23 23:41:13.235179
102|0|17|17.0|2024-05-23 23:41:13.838720
103|1|13|13.0|2024-05-23 23:41:14.297510
104|0|11|11.0|2024-05-23 23:41:14.749369
105|1|14|14.0|2024-05-23 23:41:15.255936
106|0|14|14.0|2024-05-23 23:41:15.677383
107|1|18|18.0|2024-05-23 23:41:16.620477
108|0|29|29.0|2024-05-23 23:41:17.810864
109|1|39|39.0|2024-05-23 23:41:19.529277
110|1|25|25.0|2024-05-23 23:41:21.582938
111|1|33|33.0|2024-05-23 23:41:24.238814
112|0|89|89.0|2024-05-23 23:41:24.877529
113|1|12|12.0|2024-05-23 23:41:25.089133
114|1|22|22.0|2024-05-23 23:41:26.738008
115|0|26|26.0|2024-05-23 23:41:26.856095
116|0|11|11.0|2024-05-23 23:41:27.691564
117|1|16|16.0|2024-05-23 23:41:28.046432
118|1|12|12.0|2024-05-23 23:41:28.874225
119|0|17|17.0|2024-05-23 23:41:28.942547
120|0|14|14.0|2024-05-23 23:41:30.113905
121|1|18|18.0|2024-05-23 23:41:30.382285
122|0|13|13.0|2024-05-23 23:41:31.182250
123|1|16|16.0|2024-05-23 23:41:31.621856
