episode|worker_id|eplen|score|ts
0|1|20|20.0|2024-03-16 11:45:18.933293
1|1|13|13.0|2024-03-16 11:45:20.451125
2|0|43|43.0|2024-03-16 11:45:21.644534
3|1|14|14.0|2024-03-16 11:45:22.185432
4|1|29|29.0|2024-03-16 11:45:25.944142
5|0|41|41.0|2024-03-16 11:45:27.006586
6|1|15|15.0|2024-03-16 11:45:28.024408
7|0|14|14.0|2024-03-16 11:45:29.139180
8|1|18|18.0|2024-03-16 11:45:30.627927
9|0|25|25.0|2024-03-16 11:45:32.415132
10|1|18|18.0|2024-03-16 11:45:32.904620
11|0|17|17.0|2024-03-16 11:45:34.814822
12|0|21|21.0|2024-03-16 11:45:37.648593
13|1|35|35.0|2024-03-16 11:45:37.797055
14|0|19|19.0|2024-03-16 11:45:40.250656
15|1|29|29.0|2024-03-16 11:45:41.814629
16|1|18|18.0|2024-03-16 11:45:44.205988
17|0|40|40.0|2024-03-16 11:45:45.848397
18|1|14|14.0|2024-03-16 11:45:46.321663
19|1|17|17.0|2024-03-16 11:45:48.643369
20|0|25|25.0|2024-03-16 11:45:49.334057
21|1|16|16.0|2024-03-16 11:45:50.683649
22|0|17|17.0|2024-03-16 11:45:51.415950
23|0|16|16.0|2024-03-16 11:45:53.340204
24|1|28|28.0|2024-03-16 11:45:54.083061
25|1|12|12.0|2024-03-16 11:45:55.830180
26|0|22|22.0|2024-03-16 11:45:56.366258
27|1|19|19.0|2024-03-16 11:45:58.418146
28|0|31|31.0|2024-03-16 11:46:00.641289
29|1|22|22.0|2024-03-16 11:46:01.565439
30|0|19|19.0|2024-03-16 11:46:03.377543
31|1|25|25.0|2024-03-16 11:46:05.089705
32|0|33|33.0|2024-03-16 11:46:08.303188
33|1|33|33.0|2024-03-16 11:46:09.831060
34|0|23|23.0|2024-03-16 11:46:11.145268
35|1|18|18.0|2024-03-16 11:46:11.952436
36|1|16|16.0|2024-03-16 11:46:14.076718
37|0|25|25.0|2024-03-16 11:46:14.350422
38|0|16|16.0|2024-03-16 11:46:16.487110
39|1|34|34.0|2024-03-16 11:46:18.860393
40|0|30|30.0|2024-03-16 11:46:20.689755
41|1|21|21.0|2024-03-16 11:46:21.619621
42|0|28|28.0|2024-03-16 11:46:24.701397
43|0|14|14.0|2024-03-16 11:46:26.699803
44|1|38|38.0|2024-03-16 11:46:27.170961
45|0|14|14.0|2024-03-16 11:46:28.835382
46|1|24|24.0|2024-03-16 11:46:30.741158
47|1|15|15.0|2024-03-16 11:46:32.564613
48|1|14|14.0|2024-03-16 11:46:34.306383
49|0|48|48.0|2024-03-16 11:46:35.135672
50|1|11|11.0|2024-03-16 11:46:35.909595
51|0|15|15.0|2024-03-16 11:46:37.430713
52|0|15|15.0|2024-03-16 11:46:39.444588
53|0|18|18.0|2024-03-16 11:46:41.760596
54|1|60|60.0|2024-03-16 11:46:43.821428
55|0|22|22.0|2024-03-16 11:46:44.442752
56|1|14|14.0|2024-03-16 11:46:45.636751
57|0|18|18.0|2024-03-16 11:46:46.810752
58|1|22|22.0|2024-03-16 11:46:48.377968
59|0|18|18.0|2024-03-16 11:46:49.018928
60|0|13|13.0|2024-03-16 11:46:50.828275
61|0|15|15.0|2024-03-16 11:46:52.871664
62|1|38|38.0|2024-03-16 11:46:53.501426
63|1|10|10.0|2024-03-16 11:46:54.855441
64|0|17|17.0|2024-03-16 11:46:55.135991
65|0|15|15.0|2024-03-16 11:46:57.097884
66|0|19|19.0|2024-03-16 11:46:59.602963
67|1|42|42.0|2024-03-16 11:47:00.351955
68|0|10|10.0|2024-03-16 11:47:00.886206
69|1|15|15.0|2024-03-16 11:47:02.372803
70|0|23|23.0|2024-03-16 11:47:04.115179
71|0|18|18.0|2024-03-16 11:47:06.676543
72|1|37|37.0|2024-03-16 11:47:07.667406
73|0|42|42.0|2024-03-16 11:47:12.986134
74|0|14|14.0|2024-03-16 11:47:15.025349
75|1|49|49.0|2024-03-16 11:47:15.027793
76|0|20|20.0|2024-03-16 11:47:17.731606
77|0|13|13.0|2024-03-16 11:47:19.412011
78|1|34|34.0|2024-03-16 11:47:19.545199
79|0|25|25.0|2024-03-16 11:47:22.787328
80|1|25|25.0|2024-03-16 11:47:22.924627
81|1|19|19.0|2024-03-16 11:47:25.447948
82|0|26|26.0|2024-03-16 11:47:26.279859
83|0|28|28.0|2024-03-16 11:47:29.995576
84|1|44|44.0|2024-03-16 12:37:40.737198
85|0|15|15.0|2024-03-16 12:37:41.430008
86|0|15|15.0|2024-03-16 12:37:43.368050
87|1|25|25.0|2024-03-16 12:37:43.948415
88|1|11|11.0|2024-03-16 12:37:45.477505
89|0|18|18.0|2024-03-16 12:37:45.732402
90|1|12|12.0|2024-03-16 12:37:47.192974
91|0|11|11.0|2024-03-16 12:37:47.318941
92|0|15|15.0|2024-03-16 12:37:49.316896
93|1|20|20.0|2024-03-16 12:37:49.816974
94|0|15|15.0|2024-03-16 12:37:51.444653
95|1|19|19.0|2024-03-16 12:37:52.478294
96|0|21|21.0|2024-03-16 12:37:54.167289
97|1|14|14.0|2024-03-16 12:37:54.297825
98|1|24|24.0|2024-03-16 12:37:57.704897
99|0|36|36.0|2024-03-16 12:37:59.085503
