episode|worker_id|eplen|score|ts
0|1|13|13.0|2024-03-16 11:45:18.756226
1|0|44|44.0|2024-03-16 11:45:22.782327
2|0|18|18.0|2024-03-16 11:45:25.125967
3|1|58|58.0|2024-03-16 11:45:26.325787
4|1|12|12.0|2024-03-16 11:45:28.004559
5|1|16|16.0|2024-03-16 11:45:30.432689
6|1|13|13.0|2024-03-16 11:45:32.354326
7|1|22|22.0|2024-03-16 11:45:35.782521
8|1|11|11.0|2024-03-16 11:45:37.329358
9|1|26|26.0|2024-03-16 11:45:41.049378
10|0|126|126.0|2024-03-16 11:45:43.442699
11|1|25|25.0|2024-03-16 11:45:44.628590
12|0|22|22.0|2024-03-16 11:45:46.769661
13|0|10|10.0|2024-03-16 11:45:48.176604
14|0|20|20.0|2024-03-16 11:45:50.780666
15|1|63|63.0|2024-03-16 11:45:53.272611
16|0|22|22.0|2024-03-16 11:45:53.644110
17|0|31|31.0|2024-03-16 11:45:57.998198
18|1|63|63.0|2024-03-16 11:46:02.243386
19|0|42|42.0|2024-03-16 11:46:04.183627
20|1|30|30.0|2024-03-16 11:46:06.730739
21|1|15|15.0|2024-03-16 11:46:08.975050
22|0|34|34.0|2024-03-16 11:46:09.259098
23|1|16|16.0|2024-03-16 11:46:11.087618
24|0|29|29.0|2024-03-16 11:46:13.069891
25|1|32|32.0|2024-03-16 11:46:15.445089
26|0|18|18.0|2024-03-16 11:46:15.579218
27|1|13|13.0|2024-03-16 11:46:17.440214
28|1|20|20.0|2024-03-16 11:46:20.440407
29|1|24|24.0|2024-03-16 11:46:23.973275
30|0|67|67.0|2024-03-16 11:46:25.717302
31|1|22|22.0|2024-03-16 11:46:27.335482
32|0|12|12.0|2024-03-16 11:46:27.504581
33|0|18|18.0|2024-03-16 11:46:30.265955
34|1|23|23.0|2024-03-16 11:46:30.830186
35|0|13|13.0|2024-03-16 11:46:32.044000
36|1|10|10.0|2024-03-16 11:46:32.157122
37|0|13|13.0|2024-03-16 11:46:33.781534
38|1|21|21.0|2024-03-16 11:46:35.100354
39|1|27|27.0|2024-03-16 11:46:39.135258
40|0|63|63.0|2024-03-16 11:46:42.854024
