episode|worker_id|eplen|score|ts
0|0|37|-7.279999999999996|2024-06-08 14:22:32.586521
1|0|30|-0.28000000000000025|2024-06-08 14:22:32.930833
2|0|59|-5.51999999999999|2024-06-08 14:22:33.521421
3|0|100|-14.859999999999983|2024-06-08 14:22:34.666892
4|0|14|-2.0999999999999983|2024-06-08 14:22:34.801591
5|0|31|-11.179999999999996|2024-06-08 14:22:36.478127
6|0|100|-13.869999999999981|2024-06-08 14:22:37.600777
7|0|100|-19.809999999999995|2024-06-08 14:22:38.504203
8|0|73|-7.639999999999986|2024-06-08 14:22:39.485192
9|0|22|-2.179999999999997|2024-06-08 14:22:39.714032
10|0|100|-19.809999999999995|2024-06-08 14:22:42.749869
11|0|100|-16.839999999999996|2024-06-08 14:25:04.807151
12|0|8|-0.06000000000000005|2024-06-08 14:25:04.893570
13|0|61|-7.5199999999999925|2024-06-08 14:25:05.674013
14|0|56|-4.499999999999993|2024-06-08 14:25:06.358743
15|0|66|-14.499999999999991|2024-06-08 14:25:08.914577
16|0|100|-24.760000000000083|2024-06-08 14:25:10.232472
17|0|9|0.92|2024-06-08 14:25:10.385987
18|0|100|-17.83000000000001|2024-06-08 14:25:11.824418
19|0|100|-16.83999999999999|2024-06-08 14:25:12.985901
20|0|18|-4.119999999999998|2024-06-08 14:25:14.546050
21|0|100|-19.810000000000024|2024-06-08 14:26:33.506216
22|0|35|-3.2999999999999936|2024-06-08 14:26:33.770151
23|0|18|-2.139999999999998|2024-06-08 14:26:33.947091
24|0|16|-2.119999999999999|2024-06-08 14:26:34.060440
25|0|87|-9.759999999999984|2024-06-08 14:26:36.407779
26|0|28|-2.2399999999999993|2024-06-08 14:26:36.685940
27|0|30|-4.239999999999998|2024-06-08 14:26:37.023244
28|0|21|-3.1599999999999966|2024-06-08 14:26:37.199773
29|0|100|-14.859999999999982|2024-06-08 14:26:38.531198
30|0|100|-17.830000000000016|2024-06-08 14:26:41.145065
31|0|23|-1.1999999999999975|2024-06-08 14:26:41.429108
32|0|37|-7.279999999999994|2024-06-08 14:26:41.926941
33|0|9|-1.0599999999999987|2024-06-08 14:26:42.069507
34|0|10|-0.08000000000000007|2024-06-08 14:26:42.222929
35|0|7|0.94|2024-06-08 14:26:43.841880
36|0|44|-4.379999999999992|2024-06-08 14:26:44.329787
37|0|39|-7.299999999999995|2024-06-08 14:26:44.774972
38|0|100|-20.800000000000022|2024-06-08 14:28:02.091935
39|0|46|-8.359999999999994|2024-06-08 14:28:02.589186
40|0|100|-17.83000000000001|2024-06-08 14:28:05.178899
41|0|23|-5.159999999999997|2024-06-08 14:28:05.476759
42|0|100|-9.909999999999982|2024-06-08 14:28:06.641693
43|0|87|-9.759999999999984|2024-06-08 14:28:07.568197
44|0|9|-1.0599999999999987|2024-06-08 14:28:07.626039
45|0|36|-2.3199999999999985|2024-06-08 14:28:09.023249
46|0|67|-13.519999999999989|2024-06-08 14:28:09.833196
47|0|15|-3.099999999999998|2024-06-08 14:28:10.070715
48|0|76|-8.659999999999988|2024-06-08 14:28:11.289177
49|0|82|-12.679999999999986|2024-06-08 14:29:17.852815
50|0|18|-2.139999999999997|2024-06-08 14:29:19.406687
51|0|26|-8.159999999999997|2024-06-08 14:29:19.628300
52|0|41|-7.319999999999995|2024-06-08 14:29:19.977803
53|0|100|-25.75000000000003|2024-06-08 14:29:21.006086
54|0|100|-11.889999999999983|2024-06-08 14:29:22.110835
55|0|52|-8.419999999999993|2024-06-08 14:29:24.537213
56|0|19|-3.139999999999997|2024-06-08 14:29:24.802509
57|0|100|-26.74000000000005|2024-06-08 14:29:25.763044
58|0|100|-25.750000000000068|2024-06-08 14:29:26.708039
59|0|11|-3.0599999999999987|2024-06-08 14:29:26.809812
60|0|37|-7.279999999999996|2024-06-08 14:29:28.460166
61|0|100|-13.869999999999983|2024-06-08 14:30:46.857295
62|0|8|-0.06000000000000005|2024-06-08 14:30:46.938394
63|0|7|0.94|2024-06-08 14:30:47.013583
64|0|78|-10.659999999999991|2024-06-08 14:30:47.851274
65|0|100|-18.82000000000006|2024-06-08 14:30:50.408189
66|0|73|-7.63999999999999|2024-06-08 14:30:51.234214
67|0|100|-27.730000000000018|2024-06-08 14:30:52.522460
68|0|100|-16.839999999999982|2024-06-08 14:30:53.666980
69|0|18|-2.139999999999999|2024-06-08 14:30:53.843476
70|0|100|-4.959999999999981|2024-06-08 14:30:55.891702
71|0|63|-11.49999999999999|2024-06-08 14:32:05.773610
72|0|20|-6.119999999999997|2024-06-08 14:32:05.884559
73|0|94|-8.839999999999993|2024-06-08 14:32:06.458702
74|0|17|-7.079999999999998|2024-06-08 14:32:06.555706
75|0|100|-15.849999999999982|2024-06-08 14:32:08.456388
76|0|78|-2.7399999999999887|2024-06-08 14:32:09.083410
77|0|38|-2.3399999999999928|2024-06-08 14:32:09.364637
78|0|66|-10.539999999999988|2024-06-08 14:32:09.953184
79|0|36|-4.299999999999995|2024-06-08 14:32:10.231765
80|0|23|-3.179999999999996|2024-06-08 14:32:11.888576
81|0|25|-11.119999999999997|2024-06-08 14:32:12.116577
82|0|100|-8.919999999999984|2024-06-08 14:32:13.170522
83|0|100|-11.889999999999993|2024-06-08 14:33:31.170564
84|0|61|-9.499999999999991|2024-06-08 14:33:31.916782
85|0|26|-2.2199999999999953|2024-06-08 14:33:33.634136
86|0|5|0.96|2024-06-08 14:33:33.709591
87|0|20|-0.18000000000000016|2024-06-08 14:33:33.993203
88|0|21|-5.139999999999997|2024-06-08 14:33:34.250708
89|0|32|-2.2799999999999967|2024-06-08 14:33:34.607149
90|0|100|-25.750000000000032|2024-06-08 14:33:37.257673
91|0|100|-18.819999999999997|2024-06-08 14:33:38.475667
92|0|16|-0.14000000000000012|2024-06-08 14:33:38.652637
93|0|100|-14.859999999999985|2024-06-08 14:33:39.871195
94|0|100|-13.869999999999985|2024-06-08 14:33:40.888217
95|0|6|-0.040000000000000036|2024-06-08 14:33:42.804353
96|0|38|-8.279999999999996|2024-06-08 14:34:43.933147
97|0|100|-13.869999999999989|2024-06-08 14:34:45.031401
98|0|55|-13.399999999999991|2024-06-08 14:34:45.661149
99|0|42|-6.339999999999995|2024-06-08 14:34:46.079314
100|0|100|-24.740000000000048|2024-06-08 14:34:48.600349
101|0|56|-14.399999999999991|2024-06-08 14:34:49.224966
102|0|27|-3.219999999999996|2024-06-08 14:34:49.693645
103|0|100|-7.929999999999981|2024-06-08 14:34:51.160816
104|0|5|0.96|2024-06-08 14:34:51.231663
105|0|22|-4.159999999999997|2024-06-08 14:34:53.124816
106|0|53|-7.439999999999992|2024-06-08 14:34:53.711117
107|0|9|-1.0599999999999987|2024-06-08 14:34:53.813175
108|0|100|-13.869999999999983|2024-06-08 14:35:59.526291
109|0|38|-8.279999999999994|2024-06-08 14:35:59.939598
110|0|15|-3.0999999999999996|2024-06-08 14:36:01.563004
111|0|26|-4.199999999999996|2024-06-08 14:36:02.010595
112|0|8|-0.06000000000000005|2024-06-08 14:36:02.105696
113|0|22|-6.139999999999999|2024-06-08 14:36:02.382918
114|0|17|-3.1199999999999974|2024-06-08 14:36:02.637158
115|0|100|-9.90999999999998|2024-06-08 14:36:05.250002
116|0|41|-7.319999999999993|2024-06-08 14:36:05.624357
117|0|32|-4.259999999999995|2024-06-08 14:36:05.895975
118|0|33|-3.279999999999995|2024-06-08 14:36:06.140277
119|0|100|-10.89999999999998|2024-06-08 14:36:07.089584
120|0|7|0.94|2024-06-08 14:36:08.770473
121|0|100|-6.939999999999984|2024-06-08 14:36:09.486606
122|0|17|-3.1199999999999983|2024-06-08 14:36:09.661468
123|0|83|-7.739999999999984|2024-06-08 14:36:10.422581
124|0|9|-3.039999999999999|2024-06-08 14:36:10.539943
125|0|30|-2.259999999999998|2024-06-08 14:37:16.348741
126|0|27|-3.2199999999999953|2024-06-08 14:37:16.592662
127|0|100|-18.81999999999999|2024-06-08 14:37:17.451574
128|0|75|-23.50000000000001|2024-06-08 14:37:18.031956
129|0|22|-6.139999999999998|2024-06-08 14:37:18.168232
130|0|100|-26.740000000000066|2024-06-08 14:37:20.374689
131|0|24|-6.159999999999997|2024-06-08 14:37:20.530877
132|0|9|0.92|2024-06-08 14:37:20.599124
133|0|49|-1.4599999999999942|2024-06-08 14:37:20.932101
134|0|18|-0.15999999999999992|2024-06-08 14:37:21.034450
135|0|100|-21.790000000000017|2024-06-08 14:37:23.567107
136|0|60|-10.479999999999993|2024-06-08 14:37:24.166677
137|0|76|-6.679999999999987|2024-06-08 14:38:27.449011
138|0|100|-21.790000000000017|2024-06-08 14:38:28.431081
139|0|36|-2.319999999999996|2024-06-08 14:38:28.827420
140|0|15|-1.1199999999999979|2024-06-08 14:38:30.082049
141|0|53|-5.459999999999992|2024-06-08 14:38:30.445045
142|0|12|-0.10000000000000009|2024-06-08 14:38:30.503349
143|0|15|-3.099999999999998|2024-06-08 14:38:30.606802
144|0|25|-1.2199999999999966|2024-06-08 14:38:30.830884
145|0|60|-14.43999999999999|2024-06-08 14:38:32.447737
146|0|20|-2.1599999999999984|2024-06-08 14:38:32.591976
147|0|17|-5.099999999999998|2024-06-08 14:38:32.713233
148|0|28|-6.199999999999996|2024-06-08 14:38:33.016995
149|0|19|-3.139999999999997|2024-06-08 14:38:33.189901
150|0|17|-1.139999999999998|2024-06-08 14:38:34.758211
151|0|38|-2.3399999999999945|2024-06-08 14:38:35.181200
152|0|74|-10.619999999999989|2024-06-08 14:38:36.131120
153|0|8|-0.06000000000000005|2024-06-08 14:38:36.225366
154|0|5|0.96|2024-06-08 14:38:36.276038
155|0|20|-4.139999999999997|2024-06-08 14:38:37.849225
156|0|40|-6.319999999999993|2024-06-08 14:38:38.258537
157|0|100|-6.939999999999992|2024-06-08 14:39:47.362065
158|0|73|-9.61999999999999|2024-06-08 14:39:48.173450
159|0|25|0.7599999999999999|2024-06-08 14:39:48.412028
160|0|100|-14.859999999999982|2024-06-08 14:39:50.559476
161|0|100|-12.879999999999981|2024-06-08 14:39:51.567307
162|0|8|-0.06000000000000005|2024-06-08 14:39:51.654372
163|0|7|-1.0399999999999991|2024-06-08 14:39:51.733788
164|0|100|-14.859999999999982|2024-06-08 14:39:52.966192
165|0|18|-4.119999999999999|2024-06-08 14:39:54.641816
166|0|11|0.9|2024-06-08 14:39:54.776708
167|0|100|-20.80000000000001|2024-06-08 14:39:56.088808
168|0|19|-1.1599999999999984|2024-06-08 14:39:56.303689
169|0|44|-6.359999999999992|2024-06-08 14:39:56.763126
170|0|100|-22.780000000000033|2024-06-08 14:41:02.994102
171|0|100|-9.90999999999998|2024-06-08 14:41:04.035201
172|0|10|-0.08000000000000007|2024-06-08 14:41:04.129685
173|0|100|-19.80999999999999|2024-06-08 14:41:05.142240
174|0|30|-4.239999999999996|2024-06-08 14:41:05.390511
175|0|100|-18.820000000000018|2024-06-08 14:41:07.850327
176|0|100|-10.899999999999986|2024-06-08 14:41:09.030054
177|0|100|-19.809999999999995|2024-06-08 14:41:09.951639
178|0|5|0.96|2024-06-08 14:41:09.990552
179|0|18|-6.099999999999999|2024-06-08 14:41:10.141813
180|0|100|-21.789999999999996|2024-06-08 14:42:28.182481
181|0|25|-7.159999999999997|2024-06-08 14:42:28.443613
182|0|17|-3.119999999999999|2024-06-08 14:42:28.591080
183|0|100|-13.869999999999981|2024-06-08 14:42:29.606653
184|0|100|-17.82999999999999|2024-06-08 14:42:30.427378
185|0|18|-2.139999999999998|2024-06-08 14:42:31.842440
186|0|18|-2.139999999999998|2024-06-08 14:42:32.029948
187|0|17|0.84|2024-06-08 14:42:32.211155
188|0|100|-9.909999999999984|2024-06-08 14:42:33.036166
189|0|9|-3.039999999999999|2024-06-08 14:42:33.099037
190|0|6|-0.040000000000000036|2024-06-08 14:42:34.029937
191|0|100|-20.800000000000086|2024-06-08 14:42:35.158704
192|0|100|-25.750000000000046|2024-06-08 14:43:42.983203
193|0|16|-0.14000000000000012|2024-06-08 14:43:43.143499
194|0|6|-0.040000000000000036|2024-06-08 14:43:43.214484
195|0|53|-5.45999999999999|2024-06-08 14:43:44.801163
196|0|7|0.94|2024-06-08 14:43:44.884877
197|0|25|-5.179999999999996|2024-06-08 14:43:45.175603
198|0|36|-2.319999999999993|2024-06-08 14:43:45.532369
