episode|worker_id|eplen|score|ts
0|0|100|-25.75000000000001|2024-06-08 14:22:33.020792
1|0|100|-16.839999999999982|2024-06-08 14:22:33.824195
2|0|100|-13.869999999999987|2024-06-08 14:22:34.750912
3|0|95|-5.879999999999982|2024-06-08 14:22:35.423510
4|0|56|-2.51999999999999|2024-06-08 14:22:35.879969
5|0|52|-6.4399999999999915|2024-06-08 14:22:37.926139
6|0|19|-3.139999999999997|2024-06-08 14:22:38.134165
7|0|16|-4.099999999999998|2024-06-08 14:22:38.241683
8|0|100|-24.760000000000012|2024-06-08 14:22:39.285332
9|0|100|-15.849999999999985|2024-06-08 14:24:39.465416
10|0|100|-7.92999999999998|2024-06-08 14:24:41.642835
11|0|19|-3.139999999999997|2024-06-08 14:24:41.829970
12|0|68|-8.579999999999988|2024-06-08 14:24:42.341426
13|0|78|-14.619999999999987|2024-06-08 14:24:42.847782
14|0|71|-7.619999999999989|2024-06-08 14:24:43.457668
15|0|31|-5.239999999999995|2024-06-08 14:24:44.975218
16|0|100|-22.780000000000026|2024-06-08 14:24:45.883833
17|0|100|-15.849999999999982|2024-06-08 14:24:46.759322
18|0|79|-9.679999999999986|2024-06-08 14:25:50.705784
19|0|100|-9.909999999999986|2024-06-08 14:25:51.911235
20|0|42|-4.359999999999992|2024-06-08 14:25:53.720992
21|0|6|-0.040000000000000036|2024-06-08 14:25:53.786799
22|0|10|-0.08000000000000007|2024-06-08 14:25:53.909444
23|0|17|-1.139999999999998|2024-06-08 14:25:54.051687
24|0|31|-3.2599999999999962|2024-06-08 14:25:54.399973
25|0|100|-20.8|2024-06-08 14:25:57.027643
26|0|20|-2.1599999999999993|2024-06-08 14:25:57.303666
27|0|100|-10.89999999999998|2024-06-08 14:25:58.337566
28|0|10|-0.08000000000000007|2024-06-08 14:25:58.460923
29|0|100|-25.750000000000092|2024-06-08 14:25:59.263969
30|0|100|-13.869999999999983|2024-06-08 14:27:06.263371
31|0|71|-21.48000000000002|2024-06-08 14:27:06.998476
32|0|17|-3.1199999999999983|2024-06-08 14:27:07.187064
33|0|10|-0.08000000000000007|2024-06-08 14:27:07.319060
34|0|7|0.94|2024-06-08 14:27:07.410126
