episode|worker_id|eplen|score|ts
0|0|100|-11.889999999999986|2024-05-20 17:00:51.435616
1|0|22|-4.159999999999997|2024-05-20 17:01:09.758190
2|0|100|-26.740000000000048|2024-05-20 17:02:35.027316
3|0|23|-9.12|2024-05-20 17:02:54.562841
4|0|100|-33.66999999999999|2024-05-20 17:04:21.506993
5|0|99|-11.859999999999983|2024-05-20 17:05:48.954216
6|0|35|-7.2599999999999945|2024-05-20 17:06:19.431725
7|0|28|-12.139999999999997|2024-05-20 17:06:44.729054
8|0|30|-6.219999999999997|2024-05-20 17:07:10.909931
9|0|17|-5.099999999999998|2024-05-20 17:07:26.477729
10|0|10|-0.08000000000000007|2024-05-20 17:07:36.130848
11|0|84|-14.679999999999987|2024-05-20 17:08:51.068994
12|0|12|-2.079999999999999|2024-05-20 17:09:02.135214
13|0|90|-10.779999999999983|2024-05-20 19:21:22.254776
14|0|100|-10.89999999999998|2024-05-20 19:22:49.173922
15|0|100|-8.91999999999998|2024-05-20 19:24:19.894187
16|0|100|-13.869999999999983|2024-05-20 19:25:46.990207
17|0|100|-20.800000000000026|2024-05-20 19:27:12.914962
18|0|78|-14.619999999999987|2024-05-20 19:28:18.190181
19|0|100|-16.840000000000007|2024-05-20 19:29:43.808400
20|0|100|-32.68000000000003|2024-05-20 20:50:56.294950
21|0|100|-9.909999999999982|2024-05-20 20:52:23.479612
22|0|9|0.92|2024-05-20 20:52:30.922855
23|0|100|-27.73000000000002|2024-05-20 20:53:54.631744
24|0|39|-1.3599999999999954|2024-05-20 20:54:28.425608
25|0|33|-11.199999999999996|2024-05-20 20:54:56.914369
26|0|80|-10.679999999999986|2024-05-20 20:56:05.686620
27|0|39|-3.3399999999999963|2024-05-20 20:56:39.576779
28|0|100|-13.869999999999981|2024-05-20 20:58:03.685881
29|0|74|-10.619999999999989|2024-05-20 20:59:07.188527
30|0|15|0.86|2024-05-20 22:17:24.587776
31|0|100|-14.859999999999992|2024-05-20 22:18:47.433829
32|0|47|-15.3|2024-05-20 22:19:26.538661
33|0|10|-0.08000000000000007|2024-05-20 22:19:34.684610
34|0|100|-24.76000000000005|2024-05-20 22:21:00.706789
35|0|26|-6.179999999999997|2024-05-20 22:21:23.891732
36|0|29|-3.239999999999995|2024-05-20 22:21:47.597790
37|0|9|0.92|2024-05-20 22:21:54.922376
38|0|100|-10.899999999999986|2024-05-20 22:23:15.685067
39|0|93|-19.72|2024-05-20 22:24:29.585382
40|0|100|-15.849999999999984|2024-05-20 22:25:47.322557
41|0|21|-3.1599999999999966|2024-05-20 22:26:03.473733
42|0|15|0.86|2024-05-20 22:26:14.920041
43|0|100|-13.869999999999981|2024-05-20 23:45:17.366315
44|0|20|-0.18000000000000016|2024-05-20 23:45:34.273348
45|0|100|-20.800000000000015|2024-05-20 23:47:00.647999
46|0|100|-17.82999999999999|2024-05-20 23:48:26.418218
47|0|78|-8.679999999999986|2024-05-20 23:49:30.476352
48|0|37|-3.319999999999994|2024-05-20 23:50:02.086776
49|0|9|0.92|2024-05-20 23:50:09.091347
50|0|100|-21.79000000000003|2024-05-20 23:51:34.565119
51|0|100|-15.849999999999985|2024-05-20 23:53:00.568859
52|0|68|-8.579999999999991|2024-05-21 01:11:15.755202
53|0|100|-9.909999999999982|2024-05-21 01:12:38.605379
54|0|6|-0.040000000000000036|2024-05-21 01:12:42.966988
55|0|100|-30.700000000000056|2024-05-21 01:14:05.576336
56|0|28|-2.239999999999996|2024-05-21 01:14:29.303548
57|0|100|-22.780000000000012|2024-05-21 01:15:54.149517
58|0|100|-17.83000000000001|2024-05-21 01:17:18.474521
59|0|100|-24.76000000000006|2024-05-21 01:18:41.534560
60|0|14|-2.0999999999999996|2024-05-21 01:18:54.739694
61|0|100|-12.879999999999981|2024-05-21 01:20:20.888103
62|0|100|-24.760000000000044|2024-05-21 02:38:53.729325
63|0|100|-10.899999999999983|2024-05-21 02:40:16.781192
64|0|49|-11.359999999999992|2024-05-21 02:40:57.599235
65|0|100|-15.849999999999984|2024-05-21 02:42:22.068104
66|0|27|-3.219999999999997|2024-05-21 02:42:45.025528
67|0|43|-5.359999999999994|2024-05-21 02:43:21.566779
68|0|9|-1.0599999999999996|2024-05-21 02:43:28.639197
69|0|100|-9.90999999999999|2024-05-21 02:44:53.615942
70|0|100|-12.879999999999988|2024-05-21 02:46:19.971241
71|0|100|-5.94999999999998|2024-05-21 04:04:47.819668
72|0|14|-0.1200000000000001|2024-05-21 04:04:59.767754
73|0|33|-1.2999999999999972|2024-05-21 04:05:27.156721
74|0|100|-13.869999999999985|2024-05-21 04:06:51.426172
75|0|100|-16.839999999999993|2024-05-21 04:08:18.153869
76|0|100|-19.810000000000002|2024-05-21 04:09:43.948722
77|0|100|-27.730000000000068|2024-05-21 04:11:07.574201
78|0|36|-2.319999999999993|2024-05-21 04:11:37.839270
79|0|27|-3.219999999999997|2024-05-21 04:12:00.932100
80|0|92|-6.839999999999982|2024-05-21 04:13:19.135086
81|0|100|-12.879999999999981|2024-05-21 05:31:55.763564
82|0|9|-1.0599999999999987|2024-05-21 05:32:04.222283
83|0|100|-10.899999999999988|2024-05-21 05:33:28.055271
84|0|15|-5.079999999999999|2024-05-21 05:33:40.864706
85|0|100|-13.869999999999983|2024-05-21 05:35:04.451451
86|0|38|-6.2999999999999945|2024-05-21 05:35:35.504610
87|0|7|0.94|2024-05-21 05:35:41.064197
88|0|43|-1.3999999999999924|2024-05-21 05:36:16.802177
89|0|100|-21.790000000000035|2024-05-21 05:37:39.347958
90|0|100|-11.889999999999983|2024-05-21 05:39:04.191165
91|0|61|-9.49999999999999|2024-05-21 05:39:55.310134
92|0|100|-27.730000000000018|2024-05-21 06:59:00.677230
93|0|100|-11.889999999999981|2024-05-21 07:00:28.276303
94|0|100|-23.770000000000007|2024-05-21 07:01:51.317464
95|0|12|-0.10000000000000009|2024-05-21 07:02:01.032631
96|0|100|-20.80000000000001|2024-05-21 07:03:23.986852
97|0|14|-0.1200000000000001|2024-05-21 07:03:34.996982
98|0|8|-0.06000000000000005|2024-05-21 07:03:42.630632
99|0|13|-1.0999999999999988|2024-05-21 07:03:53.493020
100|0|22|-0.20000000000000018|2024-05-21 07:04:12.821527
101|0|5|0.96|2024-05-21 07:04:17.219173
102|0|100|-15.849999999999982|2024-05-21 07:05:42.528190
103|0|27|-1.2399999999999975|2024-05-21 07:06:04.223906
104|0|100|-24.760000000000037|2024-05-21 08:25:31.412060
105|0|100|-18.82000000000004|2024-05-21 08:26:59.669104
106|0|100|-26.740000000000027|2024-05-21 08:28:24.104908
107|0|14|-4.079999999999998|2024-05-21 08:28:35.170893
108|0|28|-4.219999999999995|2024-05-21 08:28:58.779556
109|0|8|-0.06000000000000005|2024-05-21 08:29:05.157418
110|0|100|-15.849999999999984|2024-05-21 08:30:29.062396
111|0|100|-19.809999999999995|2024-05-21 08:31:55.808157
112|0|42|-8.319999999999993|2024-05-21 08:32:31.366262
113|0|100|-17.829999999999988|2024-05-21 08:33:56.069269
114|0|100|-21.790000000000013|2024-05-21 09:54:24.286895
115|0|100|-15.849999999999982|2024-05-21 09:55:47.129931
116|0|35|-3.299999999999997|2024-05-21 09:56:16.057837
117|0|71|0.2999999999999996|2024-05-21 09:57:15.361680
118|0|14|-0.1200000000000001|2024-05-21 09:57:27.987365
119|0|10|-2.0599999999999996|2024-05-21 09:57:36.609531
120|0|19|-3.139999999999998|2024-05-21 09:57:53.545278
121|0|22|-2.1799999999999966|2024-05-21 09:58:12.555300
122|0|30|-2.259999999999995|2024-05-21 09:58:39.861933
123|0|100|-10.89999999999998|2024-05-21 10:00:03.107839
124|0|10|-0.08000000000000007|2024-05-21 10:00:11.423025
125|0|16|-0.14000000000000012|2024-05-21 10:00:26.037195
126|0|15|-1.1199999999999997|2024-05-21 10:00:40.082313
127|0|13|-1.0999999999999988|2024-05-21 10:00:50.310660
128|0|100|-17.829999999999988|2024-05-21 10:02:13.882693
129|0|65|-17.460000000000036|2024-05-21 10:03:08.154654
130|0|100|-11.889999999999981|2024-05-21 11:23:08.968224
131|0|66|-10.539999999999988|2024-05-21 11:24:12.430103
132|0|60|-4.539999999999989|2024-05-21 11:25:08.173115
133|0|7|0.94|2024-05-21 11:25:15.279410
134|0|17|-1.1399999999999983|2024-05-21 11:25:31.140717
135|0|27|-1.2399999999999989|2024-05-21 11:25:56.582548
136|0|11|-1.0799999999999987|2024-05-21 11:26:07.194127
137|0|100|-22.780000000000005|2024-05-21 11:27:38.697078
138|0|100|-15.849999999999987|2024-05-21 11:29:07.056249
139|0|100|-17.830000000000013|2024-05-21 11:30:32.197299
140|0|100|-9.909999999999991|2024-05-21 11:31:59.976331
141|0|100|-15.849999999999985|2024-05-21 12:49:34.671939
142|0|40|-2.3599999999999937|2024-05-21 12:50:08.198877
143|0|16|-0.14000000000000012|2024-05-21 12:50:21.379287
144|0|55|-5.479999999999995|2024-05-21 12:51:07.179641
145|0|25|-3.1999999999999957|2024-05-21 12:51:28.100536
146|0|100|-8.919999999999982|2024-05-21 12:52:50.158042
147|0|56|-6.4799999999999915|2024-05-21 12:53:36.299818
148|0|44|-2.3999999999999986|2024-05-21 12:54:13.885286
149|0|28|-4.219999999999995|2024-05-21 12:54:37.450318
150|0|26|-2.219999999999999|2024-05-21 12:54:59.574949
151|0|19|0.82|2024-05-21 12:55:15.055034
152|0|59|-1.5599999999999912|2024-05-21 12:56:05.446229
153|0|21|-3.1599999999999966|2024-05-21 12:56:24.146324
154|0|22|-0.20000000000000018|2024-05-21 12:56:43.628608
155|0|100|-15.849999999999987|2024-05-21 14:17:27.116941
156|0|8|-0.06000000000000005|2024-05-21 14:17:35.009990
157|0|19|-1.1599999999999997|2024-05-21 14:17:53.154850
158|0|100|-20.800000000000036|2024-05-21 14:19:24.222621
159|0|100|-13.869999999999983|2024-05-21 14:20:56.705271
160|0|5|0.96|2024-05-21 14:21:02.574991
161|0|8|-0.06000000000000005|2024-05-21 14:21:09.759113
162|0|23|0.7799999999999999|2024-05-21 14:21:30.762064
163|0|100|-6.939999999999984|2024-05-21 14:23:04.643345
164|0|100|-20.8|2024-05-21 14:24:42.142202
165|0|56|-4.49999999999999|2024-05-21 14:25:38.280876
166|0|100|-17.829999999999984|2024-05-21 14:27:17.919191
167|0|49|-3.439999999999994|2024-05-21 15:53:48.669968
168|0|100|-32.68000000000002|2024-05-21 15:55:26.021340
169|0|56|-14.399999999999997|2024-05-21 15:56:19.833560
170|0|20|-2.1599999999999975|2024-05-21 15:56:40.172238
171|0|19|-1.1599999999999966|2024-05-21 15:56:58.095063
172|0|41|-9.299999999999994|2024-05-21 15:57:37.171015
173|0|53|-1.4999999999999902|2024-05-21 15:58:28.692254
174|0|9|0.92|2024-05-21 15:58:37.428721
175|0|39|-5.319999999999996|2024-05-21 15:59:18.493100
176|0|45|-7.359999999999992|2024-05-21 16:00:03.509032
177|0|12|-0.10000000000000009|2024-05-21 16:00:15.300190
178|0|30|-2.2599999999999976|2024-05-21 16:00:44.524187
179|0|17|-1.1399999999999975|2024-05-21 16:01:00.083063
180|0|10|-0.08000000000000007|2024-05-21 16:01:09.913899
181|0|60|-6.519999999999989|2024-05-21 16:02:07.032488
182|0|17|0.84|2024-05-21 16:02:23.764875
183|0|18|-2.139999999999997|2024-05-21 16:02:41.179046
184|0|100|-20.800000000000036|2024-05-21 17:29:35.477817
185|0|5|0.96|2024-05-21 17:29:40.484133
186|0|23|-1.199999999999998|2024-05-21 17:30:01.436179
187|0|25|-1.219999999999997|2024-05-21 17:30:25.877955
188|0|100|-15.849999999999987|2024-05-21 17:32:01.505858
189|0|100|-19.81000000000005|2024-05-21 17:33:36.426684
190|0|100|-13.869999999999983|2024-05-21 17:35:14.225668
191|0|15|-1.1199999999999997|2024-05-21 17:35:28.788103
192|0|18|-0.16000000000000014|2024-05-21 17:35:44.842436
193|0|63|-5.559999999999997|2024-05-21 17:36:46.199784
194|0|100|-14.859999999999982|2024-05-21 17:38:21.792691
195|0|100|-14.859999999999985|2024-05-21 17:39:57.550915
196|0|43|-1.3999999999999995|2024-05-21 19:05:38.662069
197|0|100|-13.869999999999981|2024-05-21 19:07:12.892002
198|0|97|-21.740000000000006|2024-05-21 19:08:44.783949
199|0|40|-8.299999999999994|2024-05-21 19:09:23.626636
200|0|22|-6.139999999999998|2024-05-21 19:09:45.836654
201|0|100|-17.830000000000002|2024-05-21 19:11:23.729781
202|0|39|-7.299999999999994|2024-05-21 19:12:01.331852
203|0|16|-4.099999999999999|2024-05-21 19:12:16.700889
204|0|34|-4.279999999999994|2024-05-21 19:12:46.289652
205|0|7|0.94|2024-05-21 19:12:53.354447
206|0|29|-3.239999999999995|2024-05-21 19:13:20.805074
207|0|42|-12.279999999999994|2024-05-21 19:14:00.433601
