episode|worker_id|eplen|score|ts
0|0|14|-0.1200000000000001|2024-05-20 16:59:41.770093
1|0|100|-18.820000000000018|2024-05-20 17:01:05.933719
2|0|17|-1.139999999999997|2024-05-20 17:01:20.590858
3|0|83|-13.67999999999999|2024-05-20 17:02:30.055360
4|0|100|-16.840000000000025|2024-05-20 17:03:54.725050
5|0|31|-9.199999999999996|2024-05-20 17:04:23.613948
6|0|100|-15.849999999999982|2024-05-20 17:05:49.890883
7|0|56|-8.459999999999992|2024-05-20 17:06:39.074331
8|0|100|-21.790000000000035|2024-05-20 17:08:08.192995
9|0|13|-3.0799999999999983|2024-05-20 17:08:20.266978
10|0|100|-18.82000000000001|2024-05-20 19:21:30.276626
11|0|5|0.96|2024-05-20 19:21:34.112518
12|0|7|-1.0399999999999991|2024-05-20 19:21:40.029617
13|0|90|-8.799999999999986|2024-05-20 19:22:58.182807
14|0|15|-3.099999999999998|2024-05-20 19:23:12.230093
15|0|10|-0.08000000000000007|2024-05-20 19:23:27.758617
16|0|100|-21.79000000000002|2024-05-20 19:24:54.193437
17|0|100|-19.81|2024-05-20 19:26:21.144168
18|0|13|-1.0999999999999988|2024-05-20 19:26:31.726637
19|0|100|-22.780000000000033|2024-05-20 19:27:58.196981
20|0|100|-18.820000000000004|2024-05-20 19:29:23.936689
21|0|13|-1.0999999999999979|2024-05-20 19:29:36.326111
22|0|100|-13.869999999999983|2024-05-20 20:51:53.044505
23|0|11|-1.0799999999999996|2024-05-20 20:52:02.015376
24|0|18|-0.16000000000000014|2024-05-20 20:52:17.341408
25|0|16|-0.14000000000000012|2024-05-20 20:52:31.258780
26|0|24|-2.199999999999996|2024-05-20 20:52:51.252064
27|0|9|0.92|2024-05-20 20:52:58.720412
28|0|20|-2.1599999999999966|2024-05-20 20:53:15.295999
29|0|17|-1.1399999999999988|2024-05-20 20:53:29.894623
30|0|100|-26.740000000000006|2024-05-20 20:54:55.410117
31|0|100|-22.780000000000012|2024-05-20 20:56:18.499497
32|0|100|-12.879999999999981|2024-05-20 20:57:44.267929
33|0|66|-10.53999999999999|2024-05-20 20:58:41.317617
34|0|8|-2.039999999999999|2024-05-20 20:58:48.143566
35|0|47|-13.319999999999995|2024-05-20 20:59:30.281978
36|0|51|-9.399999999999991|2024-05-20 21:00:16.095478
37|0|100|-30.70000000000005|2024-05-20 22:20:04.893024
38|0|8|-2.039999999999999|2024-05-20 22:20:11.644606
39|0|36|-4.299999999999997|2024-05-20 22:20:42.615655
40|0|14|-4.079999999999998|2024-05-20 22:20:55.102893
41|0|100|-27.730000000000043|2024-05-20 22:22:18.463668
42|0|100|-21.79000000000001|2024-05-20 22:23:40.051711
43|0|13|-3.0799999999999983|2024-05-20 22:23:49.421284
44|0|25|-3.1999999999999957|2024-05-20 22:24:09.536418
45|0|100|-22.780000000000037|2024-05-20 22:25:30.029459
46|0|100|-25.75000000000005|2024-05-20 22:26:51.076250
47|0|11|0.9|2024-05-20 22:26:59.986152
48|0|98|-14.819999999999986|2024-05-20 22:28:20.416512
49|0|100|-12.879999999999981|2024-05-20 23:49:16.481293
50|0|100|-12.879999999999983|2024-05-20 23:50:39.414201
51|0|36|-4.299999999999995|2024-05-20 23:51:10.759121
52|0|73|-9.619999999999989|2024-05-20 23:52:11.861261
53|0|100|-12.879999999999985|2024-05-20 23:53:37.651572
54|0|100|-11.889999999999983|2024-05-20 23:55:04.581991
55|0|9|0.92|2024-05-20 23:55:13.014699
56|0|100|-7.929999999999986|2024-05-20 23:56:37.614534
57|0|22|-0.19999999999999996|2024-05-20 23:56:55.853045
58|0|5|0.96|2024-05-20 23:57:00.880425
