episode|worker_id|eplen|score|ts
0|0|72|-18.520000000000028|2024-06-04 16:08:56.113276
1|0|100|-7.929999999999983|2024-06-04 16:09:48.202931
2|0|80|-14.639999999999986|2024-06-04 16:10:29.660057
3|0|100|-12.879999999999981|2024-06-04 16:11:22.418008
4|0|6|-0.040000000000000036|2024-06-04 16:11:25.594565
5|0|21|-3.1599999999999966|2024-06-04 16:11:37.244606
6|0|74|-18.540000000000003|2024-06-04 16:12:16.558184
7|0|58|-8.47999999999999|2024-06-04 16:12:46.915856
8|0|50|-6.419999999999993|2024-06-04 16:13:12.978569
9|0|30|-6.219999999999995|2024-06-04 16:13:28.700314
10|0|100|-24.760000000000087|2024-06-04 18:17:10.816000
11|0|11|-3.0599999999999987|2024-06-04 18:17:18.189921
12|0|100|-29.710000000000036|2024-06-04 18:18:25.839471
13|0|100|-4.9599999999999875|2024-06-04 18:19:34.699531
14|0|83|-29.520000000000035|2024-06-04 18:20:36.656214
15|0|100|-25.750000000000036|2024-06-04 18:21:44.108160
16|0|36|-8.259999999999996|2024-06-04 18:22:08.872749
17|0|52|-10.399999999999993|2024-06-04 18:22:43.655477
18|0|14|-6.059999999999999|2024-06-04 18:22:51.452863
19|0|46|-4.3999999999999915|2024-06-04 18:23:24.167734
20|0|34|-4.279999999999996|2024-06-04 18:23:48.290934
21|0|51|-1.4799999999999929|2024-06-04 18:24:22.836018
22|0|100|-20.800000000000008|2024-06-04 19:46:31.745554
23|0|100|-25.75000000000005|2024-06-04 19:47:46.243989
24|0|100|-19.810000000000002|2024-06-04 19:48:52.832620
25|0|38|-0.3600000000000003|2024-06-04 19:49:21.411548
26|0|100|-23.769999999999992|2024-06-04 19:50:32.061659
27|0|10|-4.039999999999999|2024-06-04 19:50:38.507964
28|0|7|-1.0399999999999991|2024-06-04 19:50:43.125531
29|0|34|-0.3200000000000003|2024-06-04 19:51:08.003005
30|0|9|-1.0599999999999992|2024-06-04 19:51:18.615591
31|0|7|0.94|2024-06-04 19:51:23.483365
32|0|20|-2.1599999999999984|2024-06-04 19:51:37.372493
33|0|39|-7.299999999999994|2024-06-04 19:52:03.041487
34|0|100|-15.849999999999982|2024-06-04 19:53:10.770160
36|0|100|-15.849999999999982|2024-06-04 20:18:27.910607
37|0|14|-2.099999999999998|2024-06-04 20:18:35.734384
38|0|33|-5.259999999999996|2024-06-04 20:18:54.081382
39|0|100|-12.879999999999985|2024-06-04 20:19:48.887810
40|0|100|-30.700000000000014|2024-06-04 20:20:43.855521
41|0|57|-5.499999999999993|2024-06-04 20:21:14.524968
42|0|20|-0.18000000000000016|2024-06-04 20:21:25.286833
43|0|8|-0.06000000000000005|2024-06-04 20:21:29.650828
44|0|100|-22.78000000000003|2024-06-04 20:22:24.278185
45|0|11|-1.0799999999999992|2024-06-04 20:22:30.725083
46|0|16|-0.14000000000000012|2024-06-04 20:22:39.348953
47|0|8|-0.06000000000000005|2024-06-04 20:22:43.675398
