episode|worker_id|eplen|score|ts
0|0|17|-1.1399999999999975|2024-06-04 16:08:28.779522
1|0|33|-5.2599999999999945|2024-06-04 16:08:45.264442
2|0|11|0.9|2024-06-04 16:08:50.772460
3|0|35|-5.279999999999997|2024-06-04 16:09:08.644341
4|0|100|-18.81999999999999|2024-06-04 16:10:03.397413
5|0|100|-27.73000000000005|2024-06-04 16:10:58.754793
6|0|100|-7.929999999999981|2024-06-04 16:11:53.454873
7|0|13|-3.0799999999999983|2024-06-04 16:12:00.478583
8|0|100|-14.859999999999982|2024-06-04 16:12:55.045737
9|0|100|-33.67000000000005|2024-06-04 16:13:49.217814
11|0|75|-9.639999999999986|2024-06-04 20:18:12.218057
12|0|15|-1.1199999999999974|2024-06-04 20:18:19.937986
13|0|20|-0.17999999999999994|2024-06-04 20:18:30.327426
14|0|38|-4.319999999999996|2024-06-04 20:18:50.091314
15|0|100|-13.869999999999981|2024-06-04 20:19:42.791290
16|0|100|-29.71000000000001|2024-06-04 20:20:34.709656
17|0|13|-1.0999999999999988|2024-06-04 20:20:41.447865
18|0|23|-3.179999999999996|2024-06-04 20:20:53.513427
19|0|8|-0.06000000000000005|2024-06-04 20:20:57.671434
20|0|100|-13.869999999999981|2024-06-04 20:21:49.776968
21|0|50|-8.399999999999997|2024-06-04 20:22:15.842165
22|0|29|0.72|2024-06-04 20:22:30.858533
23|0|100|-34.65999999999998|2024-06-04 20:23:22.734525
24|0|14|-0.1200000000000001|2024-06-04 21:54:18.320572
25|0|100|-29.71000000000004|2024-06-04 21:55:19.770102
26|0|14|-4.079999999999998|2024-06-04 21:55:27.510417
27|0|100|-16.839999999999996|2024-06-04 21:56:29.104586
28|0|7|-1.0399999999999996|2024-06-04 21:56:33.141306
29|0|21|-1.179999999999998|2024-06-04 21:56:45.210049
30|0|8|-0.06000000000000005|2024-06-04 21:56:51.388775
31|0|32|-2.279999999999997|2024-06-04 21:57:10.033931
32|0|7|0.94|2024-06-04 21:57:15.000559
33|0|58|-14.419999999999991|2024-06-04 21:57:48.775434
34|0|100|-19.81000000000002|2024-06-04 21:58:49.584373
