episode|worker_id|eplen|score|ts
0|0|56|-10.43999999999999|2024-06-04 21:47:55.486614
1|0|100|-24.76000000000002|2024-06-04 21:47:55.752630
2|0|82|-16.64000000000002|2024-06-04 21:47:55.971060
3|0|100|-12.879999999999992|2024-06-04 21:47:56.352657
4|0|42|-10.299999999999994|2024-06-04 21:47:56.529205
5|0|59|-17.400000000000002|2024-06-04 21:47:57.443922
6|0|100|-18.82|2024-06-04 21:47:57.923534
7|0|28|-2.2399999999999984|2024-06-04 21:47:58.059166
8|0|14|-2.0999999999999988|2024-06-04 21:47:58.126260
9|0|22|-4.159999999999997|2024-06-04 21:47:58.242583
10|0|100|-23.770000000000014|2024-06-04 21:48:24.027852
11|0|100|-11.889999999999988|2024-06-04 21:48:24.437835
12|0|14|-0.1200000000000001|2024-06-04 21:48:24.494253
13|0|100|-21.790000000000003|2024-06-04 21:48:24.894555
14|0|100|-20.80000000000001|2024-06-04 21:48:25.366021
15|0|22|-4.1599999999999975|2024-06-04 21:48:25.863118
16|0|100|-16.839999999999986|2024-06-04 21:48:26.295848
17|0|8|-2.039999999999999|2024-06-04 21:48:26.333009
18|0|21|-5.139999999999998|2024-06-04 21:48:26.424979
19|0|100|-16.840000000000003|2024-06-04 21:48:26.890801
20|0|6|-0.040000000000000036|2024-06-04 21:48:27.232423
21|0|100|-12.87999999999999|2024-06-04 21:48:44.709485
22|0|38|-2.339999999999998|2024-06-04 21:48:44.960508
23|0|7|0.94|2024-06-04 21:48:45.008167
24|0|9|0.92|2024-06-04 21:48:45.071641
25|0|100|-10.899999999999986|2024-06-04 21:48:46.294932
26|0|100|-17.830000000000002|2024-06-04 21:48:47.012426
27|0|100|-19.81000000000002|2024-06-04 21:48:47.729396
28|0|100|-9.909999999999982|2024-06-04 21:48:48.465824
29|0|100|-11.889999999999988|2024-06-04 21:48:49.159318
30|0|5|0.96|2024-06-04 21:48:49.576214
31|0|100|-13.869999999999981|2024-06-04 21:49:07.368574
32|0|9|-1.0599999999999987|2024-06-04 21:49:07.421011
33|0|100|-17.829999999999988|2024-06-04 21:49:07.915289
34|0|46|-4.399999999999995|2024-06-04 21:49:08.146592
35|0|14|-0.1200000000000001|2024-06-04 21:49:08.802415
36|0|100|-13.869999999999989|2024-06-04 21:49:09.143950
37|0|18|-2.139999999999999|2024-06-04 21:49:09.272853
38|0|19|0.82|2024-06-04 21:49:09.410776
39|0|7|0.94|2024-06-04 21:49:09.466529
40|0|54|-6.45999999999999|2024-06-04 21:49:10.562064
41|0|100|-18.82000000000001|2024-06-04 21:49:11.265874
42|0|38|-2.3399999999999936|2024-06-04 21:49:11.535926
43|0|100|-16.840000000000025|2024-06-04 21:49:12.299208
44|0|47|-3.419999999999991|2024-06-04 21:49:12.621090
45|0|100|-18.820000000000007|2024-06-04 21:49:30.535118
46|0|5|0.96|2024-06-04 21:49:30.555241
47|0|100|-23.77|2024-06-04 21:49:30.838879
48|0|15|-1.1199999999999983|2024-06-04 21:49:30.924469
49|0|16|-4.099999999999998|2024-06-04 21:49:31.008574
50|0|100|-13.869999999999983|2024-06-04 21:49:31.857908
51|0|43|-3.3799999999999946|2024-06-04 21:49:32.103327
52|0|25|-3.1999999999999975|2024-06-04 21:49:32.216995
53|0|23|0.7799999999999999|2024-06-04 21:49:32.327852
54|0|34|-4.279999999999996|2024-06-04 21:49:32.480686
55|0|59|-3.5399999999999885|2024-06-04 21:49:33.209695
56|0|27|-1.2399999999999975|2024-06-04 21:49:33.336540
57|0|48|-6.399999999999997|2024-06-04 21:49:33.607705
58|0|23|-3.179999999999996|2024-06-04 21:49:33.727805
59|0|100|-22.780000000000012|2024-06-04 21:49:51.382919
60|0|100|-17.82999999999999|2024-06-04 21:49:51.949954
