episode|worker_id|eplen|score|ts
0|0|75|-9.639999999999986|2024-06-04 21:47:54.706687
1|0|100|-20.80000000000004|2024-06-04 21:47:54.895878
2|0|23|-3.179999999999996|2024-06-04 21:47:54.939992
3|0|20|-4.139999999999997|2024-06-04 21:47:54.987104
4|0|100|-10.899999999999986|2024-06-04 21:47:55.288196
5|0|47|-13.319999999999993|2024-06-04 21:47:55.737969
6|0|37|-11.239999999999995|2024-06-04 21:47:55.827936
7|0|38|-8.279999999999994|2024-06-04 21:47:55.909161
8|0|11|-3.0599999999999987|2024-06-04 21:47:55.940277
9|0|14|-0.1200000000000001|2024-06-04 21:47:55.977530
10|0|32|-4.2599999999999945|2024-06-04 21:47:56.345287
11|0|21|-3.1599999999999966|2024-06-04 21:47:56.414293
12|0|100|-15.849999999999982|2024-06-04 21:47:56.654777
13|0|7|0.94|2024-06-04 21:47:56.678622
14|0|100|-19.80999999999999|2024-06-04 21:48:24.354894
15|0|100|-14.859999999999989|2024-06-04 21:48:24.926931
16|0|6|-0.040000000000000036|2024-06-04 21:48:24.938711
17|0|100|-18.82000000000001|2024-06-04 21:48:25.267825
18|0|5|0.96|2024-06-04 21:48:25.287987
19|0|42|-2.379999999999995|2024-06-04 21:48:25.386958
20|0|82|-8.719999999999986|2024-06-04 21:48:25.996688
21|0|100|-20.800000000000022|2024-06-04 21:48:26.344536
22|0|39|-5.319999999999993|2024-06-04 21:48:26.457404
23|0|100|-20.799999999999997|2024-06-04 21:48:26.704154
24|0|11|-1.0799999999999983|2024-06-04 21:48:26.735289
25|0|10|-0.08000000000000007|2024-06-04 21:48:27.087826
26|0|12|-2.0799999999999987|2024-06-04 21:48:27.144201
27|0|9|0.92|2024-06-04 21:48:27.165472
28|0|11|-1.0799999999999992|2024-06-04 21:48:45.409384
29|0|13|0.88|2024-06-04 21:48:45.498905
30|0|82|-8.719999999999994|2024-06-04 21:48:46.370939
31|0|63|-11.49999999999999|2024-06-04 21:48:46.620247
32|0|9|-1.0599999999999987|2024-06-04 21:48:46.680554
33|0|34|-6.2599999999999945|2024-06-04 21:48:46.880286
34|0|29|-7.199999999999996|2024-06-04 21:48:46.995639
35|0|100|-8.91999999999998|2024-06-04 21:48:47.354401
36|0|100|-15.849999999999982|2024-06-04 21:48:47.502518
37|0|13|0.88|2024-06-04 21:48:47.521285
38|0|75|-7.659999999999986|2024-06-04 21:48:47.629067
39|0|69|-9.57999999999999|2024-06-04 21:48:47.717627
40|0|93|-9.819999999999983|2024-06-04 21:49:06.022177
41|0|6|-0.040000000000000036|2024-06-04 21:49:06.059814
42|0|21|0.7999999999999999|2024-06-04 21:49:06.225751
43|0|9|-1.0599999999999996|2024-06-04 21:49:06.288608
44|0|6|-0.040000000000000036|2024-06-04 21:49:06.334208
45|0|100|-17.829999999999995|2024-06-04 21:49:07.477251
46|0|10|-0.08000000000000007|2024-06-04 21:49:07.560788
47|0|5|0.96|2024-06-04 21:49:07.616270
48|0|13|-3.0799999999999983|2024-06-04 21:49:07.726949
49|0|17|-1.139999999999997|2024-06-04 21:49:07.861441
50|0|14|-4.079999999999998|2024-06-04 21:49:08.733513
51|0|100|-21.789999999999996|2024-06-04 21:49:09.524908
52|0|12|-0.10000000000000009|2024-06-04 21:49:09.603804
53|0|6|-0.040000000000000036|2024-06-04 21:49:09.664997
54|0|15|0.86|2024-06-04 21:49:09.765994
55|0|13|0.88|2024-06-04 21:49:10.706191
56|0|37|-3.319999999999993|2024-06-04 21:49:10.867324
57|0|100|-16.839999999999996|2024-06-04 21:49:11.243534
58|0|30|-4.239999999999995|2024-06-04 21:49:11.358635
59|0|25|-7.159999999999997|2024-06-04 21:49:11.435227
60|0|22|-2.179999999999998|2024-06-04 21:49:11.859576
61|0|100|-17.82999999999999|2024-06-04 21:49:29.883176
62|0|14|-0.1200000000000001|2024-06-04 21:49:29.927508
63|0|12|-0.10000000000000009|2024-06-04 21:49:29.962292
64|0|100|-28.720000000000024|2024-06-04 21:49:30.250894
65|0|29|-3.239999999999995|2024-06-04 21:49:31.111618
66|0|100|-33.67000000000004|2024-06-04 21:49:31.613799
67|0|100|-22.780000000000047|2024-06-04 21:49:32.098906
68|0|100|-26.74|2024-06-04 21:49:32.545722
69|0|100|-40.60000000000002|2024-06-04 21:49:32.768734
70|0|100|-36.63999999999999|2024-06-04 21:49:33.595838
71|0|100|-12.879999999999983|2024-06-04 21:49:51.988457
72|0|7|0.94|2024-06-04 21:49:52.022414
73|0|23|-1.1999999999999957|2024-06-04 21:49:52.141506
74|0|100|-28.720000000000002|2024-06-04 21:49:52.610865
75|0|100|-22.78|2024-06-04 21:49:53.516717
76|0|100|-27.73000000000005|2024-06-04 21:49:53.798193
77|0|15|-1.1199999999999974|2024-06-04 21:49:53.820456
78|0|100|-13.86999999999999|2024-06-04 21:49:54.020808
79|0|100|-12.879999999999987|2024-06-04 21:49:54.214498
80|0|37|-5.299999999999994|2024-06-04 21:49:54.535908
81|0|100|-15.849999999999984|2024-06-04 21:50:13.068383
82|0|53|-7.439999999999992|2024-06-04 21:50:13.298017
83|0|72|-18.52000000000002|2024-06-04 21:50:13.619311
84|0|79|-15.620000000000001|2024-06-04 21:50:14.009446
85|0|100|-22.78000000000007|2024-06-04 21:50:15.043930
86|0|66|-14.49999999999999|2024-06-04 21:50:15.332975
87|0|72|-6.639999999999989|2024-06-04 21:50:15.534378
88|0|8|-0.06000000000000005|2024-06-04 21:50:15.570413
89|0|100|-11.889999999999983|2024-06-04 21:50:16.000985
90|0|27|-3.219999999999997|2024-06-04 21:50:34.464152
91|0|100|-22.78000000000002|2024-06-04 21:50:35.193338
92|0|19|-1.1599999999999984|2024-06-04 21:50:35.338510
93|0|100|-25.750000000000004|2024-06-04 21:50:36.079899
94|0|12|-0.10000000000000009|2024-06-04 21:50:36.168395
95|0|100|-24.760000000000062|2024-06-04 21:50:37.303762
96|0|59|-5.519999999999994|2024-06-04 21:50:37.573528
97|0|15|0.86|2024-06-04 21:50:37.649719
98|0|8|-2.039999999999999|2024-06-04 21:50:37.685140
99|0|100|-18.82000000000003|2024-06-04 21:50:38.085043
100|0|100|-19.810000000000013|2024-06-04 21:50:38.834234
101|0|99|-21.760000000000066|2024-06-04 21:50:57.143650
102|0|16|-4.099999999999998|2024-06-04 21:50:57.183221
103|0|23|-1.1999999999999975|2024-06-04 21:50:57.272402
104|0|12|-4.059999999999999|2024-06-04 21:50:57.316410
105|0|100|-18.819999999999993|2024-06-04 21:50:58.117037
106|0|6|-0.040000000000000036|2024-06-04 21:50:58.148482
107|0|100|-15.849999999999985|2024-06-04 21:50:58.635594
108|0|100|-21.790000000000006|2024-06-04 21:50:59.116830
109|0|18|-0.16000000000000014|2024-06-04 21:50:59.203705
110|0|15|0.86|2024-06-04 21:50:59.550695
111|0|16|-4.1|2024-06-04 21:50:59.604530
112|0|69|-7.599999999999991|2024-06-04 21:51:00.059919
113|0|12|-0.10000000000000009|2024-06-04 21:51:00.161225
114|0|13|-3.0799999999999983|2024-06-04 21:51:00.266456
115|0|13|-1.0999999999999988|2024-06-04 21:51:00.763552
116|0|20|-6.119999999999997|2024-06-04 21:51:00.895493
117|0|5|0.96|2024-06-04 21:51:00.929185
118|0|7|0.94|2024-06-04 21:51:00.981697
119|0|8|-0.06000000000000005|2024-06-04 21:51:01.040195
120|0|100|-11.889999999999992|2024-06-04 21:51:19.890598
121|0|28|-6.199999999999996|2024-06-04 21:51:20.025937
122|0|100|-16.839999999999993|2024-06-04 21:51:20.537404
123|0|100|-21.79000000000001|2024-06-04 21:51:20.973253
124|0|21|-3.1599999999999966|2024-06-04 21:51:21.075348
125|0|100|-22.780000000000065|2024-06-04 21:51:22.179300
126|0|17|-1.1399999999999997|2024-06-04 21:51:22.261416
127|0|18|-0.16000000000000014|2024-06-04 21:51:22.356279
128|0|13|-3.0799999999999983|2024-06-04 21:51:22.420104
129|0|14|-0.1200000000000001|2024-06-04 21:51:22.490794
130|0|5|0.96|2024-06-04 21:51:22.974921
131|0|10|-2.0599999999999996|2024-06-04 21:51:23.025795
132|0|32|-2.2799999999999945|2024-06-04 21:51:23.182015
133|0|18|-4.119999999999997|2024-06-04 21:51:23.259302
134|0|23|-3.179999999999998|2024-06-04 21:51:23.362088
135|0|100|-29.710000000000026|2024-06-04 21:51:24.305560
136|0|7|0.94|2024-06-04 21:51:24.327979
137|0|11|-1.0799999999999987|2024-06-04 21:51:24.368733
138|0|31|-1.2799999999999967|2024-06-04 21:51:24.482211
139|0|100|-20.800000000000008|2024-06-04 21:51:42.629931
140|0|81|-11.679999999999996|2024-06-04 21:51:43.425607
141|0|10|-0.08000000000000007|2024-06-04 21:51:43.458732
142|0|65|-7.559999999999988|2024-06-04 21:51:43.673234
143|0|15|-1.1199999999999992|2024-06-04 21:51:43.728982
144|0|14|-2.0999999999999988|2024-06-04 21:51:43.759852
145|0|22|-4.159999999999999|2024-06-04 21:51:44.167376
146|0|8|-0.06000000000000005|2024-06-04 21:51:44.210954
147|0|100|-21.790000000000045|2024-06-04 21:51:44.689539
148|0|100|-14.859999999999987|2024-06-04 21:51:45.211061
149|0|100|-28.720000000000045|2024-06-04 21:51:45.629034
150|0|18|-0.16000000000000014|2024-06-04 21:51:45.984961
151|0|66|-8.559999999999993|2024-06-04 21:52:03.929465
152|0|18|-2.1399999999999975|2024-06-04 21:52:03.954097
153|0|10|-4.039999999999999|2024-06-04 21:52:03.968393
154|0|100|-9.909999999999986|2024-06-04 21:52:04.148332
155|0|89|-19.680000000000014|2024-06-04 21:52:04.698425
156|0|25|-5.179999999999998|2024-06-04 21:52:04.762646
157|0|13|0.88|2024-06-04 21:52:04.803449
158|0|11|0.9|2024-06-04 21:52:04.842501
159|0|12|-0.10000000000000009|2024-06-04 21:52:04.870596
160|0|75|-9.639999999999986|2024-06-04 21:52:05.438099
161|0|100|-18.81999999999999|2024-06-04 21:52:05.735826
