episode|worker_id|eplen|score|ts
0|0|12|-0.10000000000000009|2024-06-04 16:01:57.398664
1|0|19|-3.139999999999997|2024-06-04 16:02:07.924959
2|0|81|-25.540000000000035|2024-06-04 16:02:50.738623
3|0|87|-5.7999999999999865|2024-06-04 16:03:36.204994
4|0|24|-4.179999999999996|2024-06-04 16:03:48.780507
5|0|100|-15.849999999999982|2024-06-04 16:04:41.177941
6|0|100|-19.81000000000003|2024-06-04 16:05:33.110443
7|0|26|-6.179999999999996|2024-06-04 16:05:46.496522
8|0|100|-13.869999999999981|2024-06-04 16:06:38.846301
9|0|100|-11.889999999999981|2024-06-04 16:07:31.974653
10|0|33|-15.16|2024-06-04 17:27:04.357787
11|0|100|-13.869999999999981|2024-06-04 17:28:15.920603
12|0|13|-1.0999999999999988|2024-06-04 17:28:25.149436
13|0|69|-11.559999999999992|2024-06-04 17:29:13.594775
14|0|100|-12.879999999999981|2024-06-04 17:30:25.287297
15|0|5|0.96|2024-06-04 17:30:29.366874
16|0|100|-17.830000000000005|2024-06-04 17:31:41.544343
17|0|100|-14.859999999999983|2024-06-04 17:32:52.330649
18|0|27|-3.2199999999999953|2024-06-04 17:33:11.900446
19|0|92|-14.759999999999987|2024-06-04 17:34:18.294837
20|0|100|-14.839999999999984|2024-06-04 18:44:30.000970
21|0|13|-1.0999999999999988|2024-06-04 18:44:39.026453
22|0|29|-5.219999999999996|2024-06-04 18:45:00.084524
23|0|100|-23.77000000000005|2024-06-04 18:46:12.166808
24|0|73|-9.619999999999987|2024-06-04 18:47:04.722082
25|0|60|-14.43999999999999|2024-06-04 18:47:48.877057
26|0|23|-5.1599999999999975|2024-06-04 18:48:04.952374
27|0|78|-4.719999999999985|2024-06-04 18:48:59.914058
28|0|18|-4.119999999999997|2024-06-04 18:49:13.011232
29|0|94|-12.799999999999983|2024-06-04 18:50:20.236358
30|0|37|-7.279999999999994|2024-06-04 18:50:46.767477
31|0|63|-5.5599999999999925|2024-06-04 18:51:32.208611
32|0|59|-5.519999999999991|2024-06-04 20:02:32.499375
33|0|38|-6.2999999999999945|2024-06-04 20:03:01.857544
34|0|68|-16.50000000000001|2024-06-04 20:03:53.457393
35|0|92|-12.779999999999983|2024-06-04 20:05:02.406568
36|0|16|-0.14000000000000012|2024-06-04 20:05:14.540404
37|0|92|-8.819999999999983|2024-06-04 20:06:23.136297
38|0|100|-13.869999999999983|2024-06-04 20:07:37.949556
39|0|69|-5.6199999999999894|2024-06-04 20:08:28.953434
41|0|9|-1.0599999999999996|2024-06-04 20:17:32.442060
42|0|100|-17.83|2024-06-04 20:18:27.442314
43|0|100|-14.85999999999999|2024-06-04 20:19:21.894042
44|0|100|-11.889999999999988|2024-06-04 20:20:16.375995
45|0|55|-7.459999999999992|2024-06-04 20:20:46.998899
46|0|100|-23.77000000000004|2024-06-04 20:21:41.370601
47|0|17|-3.1199999999999983|2024-06-04 20:21:50.421464
48|0|25|-3.1999999999999975|2024-06-04 20:22:03.801061
49|0|12|-2.0799999999999987|2024-06-04 20:22:10.226677
50|0|44|-6.359999999999993|2024-06-04 20:22:34.610844
51|0|19|-3.139999999999999|2024-06-04 20:22:44.689197
52|0|17|-1.1399999999999997|2024-06-04 20:22:53.781101
53|0|81|-13.659999999999986|2024-06-04 21:40:36.887129
54|0|100|-12.879999999999981|2024-06-04 21:41:44.462100
55|0|100|-18.820000000000025|2024-06-04 21:42:50.998329
56|0|79|-5.7199999999999855|2024-06-04 21:43:44.553867
57|0|38|-4.319999999999994|2024-06-04 21:44:10.329834
58|0|15|-1.1199999999999992|2024-06-04 21:44:21.020470
59|0|24|-4.179999999999996|2024-06-04 21:44:36.652757
60|0|31|-1.2799999999999976|2024-06-04 21:44:58.372144
61|0|8|-0.06000000000000005|2024-06-04 21:45:03.855758
62|0|38|-6.299999999999995|2024-06-04 21:45:29.289341
63|0|100|-14.859999999999982|2024-06-04 21:46:38.039776
64|0|12|-2.0799999999999987|2024-06-04 21:46:45.529773
65|0|17|-1.1399999999999988|2024-06-04 21:46:57.665846
66|0|100|-21.79|2024-06-04 21:48:07.239377
67|0|59|-5.519999999999989|2024-06-04 22:39:16.719653
68|0|5|0.96|2024-06-04 22:39:20.485779
69|0|8|-0.06000000000000005|2024-06-04 22:39:26.257136
70|0|100|-20.800000000000043|2024-06-04 22:40:32.085743
71|0|18|-0.16000000000000014|2024-06-04 22:40:43.830452
72|0|100|-3.9699999999999904|2024-06-04 22:41:50.659990
73|0|92|-6.839999999999984|2024-06-04 22:42:48.670981
74|0|45|-7.359999999999996|2024-06-04 22:43:17.202838
75|0|100|-13.869999999999983|2024-06-04 22:44:21.263403
76|0|63|-7.539999999999992|2024-06-04 22:45:00.046101
77|0|100|-13.869999999999983|2024-06-04 23:34:29.081772
78|0|100|-16.839999999999982|2024-06-04 23:35:31.170138
79|0|71|-1.6799999999999904|2024-06-04 23:36:14.502665
80|0|12|-2.079999999999999|2024-06-04 23:36:23.916643
81|0|62|-2.5799999999999907|2024-06-04 23:37:03.129292
82|0|43|0.5799999999999998|2024-06-04 23:37:29.703751
83|0|100|-9.909999999999986|2024-06-04 23:38:32.204343
84|0|23|0.7799999999999999|2024-06-04 23:38:45.358640
85|0|100|-10.899999999999983|2024-06-04 23:39:50.194400
86|0|8|-0.06000000000000005|2024-06-04 23:39:55.806268
87|0|47|-1.4399999999999968|2024-06-04 23:40:24.918184
88|0|100|-10.89999999999998|2024-06-05 00:30:00.515822
89|0|100|-5.949999999999991|2024-06-05 00:31:04.764499
90|0|80|-6.719999999999991|2024-06-05 00:31:58.610701
91|0|100|-14.859999999999982|2024-06-05 00:33:04.844549
92|0|51|-3.4599999999999955|2024-06-05 00:33:38.107158
93|0|19|-1.159999999999998|2024-06-05 00:33:50.083268
94|0|63|-7.5399999999999885|2024-06-05 00:34:32.831521
95|0|48|-2.4399999999999995|2024-06-05 00:35:08.439344
96|0|28|-4.219999999999996|2024-06-05 00:35:27.331857
97|0|100|-8.91999999999998|2024-06-05 00:36:31.030695
98|0|100|-18.819999999999993|2024-06-05 01:25:57.076965
99|0|83|-3.779999999999993|2024-06-05 01:26:46.381733
100|0|58|-10.45999999999999|2024-06-05 01:27:24.658718
101|0|12|-2.0799999999999996|2024-06-05 01:27:32.530987
102|0|100|-11.889999999999981|2024-06-05 01:28:33.204001
103|0|14|-2.0999999999999988|2024-06-05 01:28:40.821535
104|0|100|-10.899999999999983|2024-06-05 01:29:41.179182
105|0|100|-20.80000000000005|2024-06-05 01:30:45.162593
106|0|100|-23.770000000000056|2024-06-05 01:31:46.062432
107|0|12|-0.10000000000000009|2024-06-05 01:31:53.906826
108|0|100|-3.9699999999999953|2024-06-05 02:22:34.980457
109|0|9|-1.0599999999999987|2024-06-05 02:22:40.510769
110|0|100|-14.859999999999982|2024-06-05 02:23:44.635638
111|0|16|-0.14000000000000012|2024-06-05 02:23:54.609773
112|0|100|-21.790000000000035|2024-06-05 02:24:52.656686
113|0|20|-4.139999999999998|2024-06-05 02:25:04.030639
114|0|100|-6.93999999999998|2024-06-05 02:25:59.879867
115|0|27|0.74|2024-06-05 02:26:16.408941
116|0|100|-13.869999999999987|2024-06-05 02:27:12.842423
117|0|34|-6.259999999999998|2024-06-05 02:27:31.743828
118|0|60|-2.559999999999998|2024-06-05 02:28:04.964128
119|0|21|-1.1799999999999988|2024-06-05 02:28:16.466095
120|0|100|-18.819999999999997|2024-06-05 03:18:05.830176
121|0|39|0.6199999999999999|2024-06-05 03:18:29.800338
122|0|62|-2.5799999999999956|2024-06-05 03:19:07.917498
123|0|21|-3.1599999999999966|2024-06-05 03:19:21.722193
124|0|13|0.88|2024-06-05 03:19:29.812075
125|0|21|0.7999999999999999|2024-06-05 03:19:44.806433
126|0|21|-1.179999999999998|2024-06-05 03:19:58.174565
127|0|8|-0.06000000000000005|2024-06-05 03:20:02.565566
128|0|11|-1.08|2024-06-05 03:20:08.605336
129|0|24|-0.2200000000000002|2024-06-05 03:20:24.735284
130|0|100|-10.89999999999998|2024-06-05 03:21:27.891410
131|0|49|-1.4599999999999973|2024-06-05 03:21:56.786760
132|0|51|0.4999999999999998|2024-06-05 03:22:27.298528
133|0|43|-5.359999999999994|2024-06-05 03:22:53.141038
134|0|78|-16.600000000000005|2024-06-05 03:23:38.577054
135|0|100|-24.760000000000044|2024-06-05 04:12:44.659464
136|0|19|0.82|2024-06-05 04:12:56.514727
137|0|100|-14.859999999999982|2024-06-05 04:13:57.284194
138|0|100|-12.879999999999988|2024-06-05 04:14:59.201332
139|0|88|-4.8199999999999825|2024-06-05 04:15:53.870086
140|0|100|-26.740000000000034|2024-06-05 04:16:57.212743
141|0|26|-0.2400000000000002|2024-06-05 04:17:14.644086
142|0|100|-36.64000000000006|2024-06-05 04:18:15.816062
143|0|100|-28.720000000000006|2024-06-05 04:19:16.929411
144|0|100|-6.9399999999999915|2024-06-05 05:08:18.309096
145|0|100|-15.849999999999987|2024-06-05 05:09:19.079000
146|0|10|-2.059999999999999|2024-06-05 05:09:24.453557
147|0|19|0.82|2024-06-05 05:09:35.997450
148|0|25|-1.219999999999998|2024-06-05 05:09:51.861630
149|0|13|0.88|2024-06-05 05:09:58.953751
150|0|5|0.96|2024-06-05 05:10:05.488513
151|0|100|-9.90999999999998|2024-06-05 05:11:06.248488
152|0|8|-0.06000000000000005|2024-06-05 05:11:11.344442
153|0|24|-2.1999999999999966|2024-06-05 05:11:24.474467
154|0|28|-2.2399999999999953|2024-06-05 05:11:42.959548
155|0|19|0.82|2024-06-05 05:11:58.261494
156|0|10|-0.08000000000000007|2024-06-05 05:12:04.725608
157|0|11|0.9|2024-06-05 05:12:11.741688
158|0|9|0.92|2024-06-05 05:12:16.722633
159|0|48|-0.4600000000000002|2024-06-05 05:12:46.043537
160|0|100|-8.919999999999982|2024-06-05 05:13:49.568947
161|0|9|0.92|2024-06-05 05:13:55.654752
162|0|100|-3.969999999999997|2024-06-05 06:02:48.702793
163|0|15|0.86|2024-06-05 06:02:56.971758
164|0|5|0.96|2024-06-05 06:02:59.876291
165|0|100|-6.939999999999984|2024-06-05 06:04:04.979941
166|0|10|-0.08000000000000007|2024-06-05 06:04:11.459854
167|0|30|-0.28000000000000025|2024-06-05 06:04:29.270578
168|0|51|0.4999999999999998|2024-06-05 06:05:01.537808
169|0|13|0.88|2024-06-05 06:05:10.513304
170|0|21|0.7999999999999999|2024-06-05 06:05:25.317354
171|0|100|-25.750000000000053|2024-06-05 06:06:28.196042
172|0|78|-10.659999999999991|2024-06-05 06:07:16.701859
173|0|53|-5.459999999999997|2024-06-05 06:07:49.290835
174|0|92|-6.839999999999985|2024-06-05 06:08:46.725883
175|0|36|-0.3400000000000003|2024-06-05 06:09:11.293371
176|0|11|-1.0799999999999983|2024-06-05 06:09:18.158753
177|0|100|-3.96999999999998|2024-06-05 06:58:46.272444
178|0|15|0.86|2024-06-05 06:58:55.707564
179|0|5|0.96|2024-06-05 06:58:59.026431
180|0|46|-4.3999999999999915|2024-06-05 06:59:28.128248
181|0|34|-0.32000000000000006|2024-06-05 06:59:47.948754
182|0|7|0.94|2024-06-05 06:59:52.816880
183|0|32|-2.279999999999994|2024-06-05 07:00:12.306581
184|0|95|-3.8999999999999826|2024-06-05 07:01:10.889678
185|0|35|-1.3199999999999936|2024-06-05 07:01:33.921013
186|0|5|0.96|2024-06-05 07:01:36.519261
187|0|12|-2.079999999999999|2024-06-05 07:01:43.353884
188|0|34|-4.279999999999999|2024-06-05 07:02:05.253956
189|0|7|0.94|2024-06-05 07:02:09.139001
