episode|worker_id|eplen|score|ts
0|1|13|13.0|2024-05-09 11:46:52.011018
1|0|14|14.0|2024-05-09 11:46:52.040242
2|1|11|11.0|2024-05-09 11:46:52.317076
3|1|14|14.0|2024-05-09 11:46:52.708968
4|0|31|31.0|2024-05-09 11:46:52.904720
5|0|15|15.0|2024-05-09 11:46:53.326294
6|0|23|23.0|2024-05-09 11:46:53.967303
7|1|45|45.0|2024-05-09 11:46:53.967989
8|1|12|12.0|2024-05-09 11:46:54.310246
9|0|20|20.0|2024-05-09 11:46:54.546848
10|1|15|15.0|2024-05-09 11:46:54.753405
11|1|17|17.0|2024-05-09 11:46:55.250701
12|1|21|21.0|2024-05-09 11:46:55.867037
13|0|65|65.0|2024-05-09 11:46:56.438394
14|0|9|9.0|2024-05-09 11:46:56.689636
15|1|36|36.0|2024-05-09 11:46:56.891899
16|0|11|11.0|2024-05-09 11:46:57.008122
17|1|14|14.0|2024-05-09 11:46:57.293212
18|0|12|12.0|2024-05-09 11:46:57.350184
19|0|17|17.0|2024-05-09 11:46:57.827123
20|1|20|20.0|2024-05-09 11:46:57.855804
21|1|9|9.0|2024-05-09 11:46:58.109705
22|0|35|35.0|2024-05-09 11:47:26.820192
23|1|38|38.0|2024-05-09 11:47:27.186549
24|0|15|15.0|2024-05-09 11:47:27.243534
25|0|17|17.0|2024-05-09 11:47:27.718881
26|1|22|22.0|2024-05-09 11:47:27.804591
27|0|9|9.0|2024-05-09 11:47:27.975079
28|1|20|20.0|2024-05-09 11:47:28.368626
29|0|24|24.0|2024-05-09 11:47:28.658496
30|0|19|19.0|2024-05-09 11:47:29.196986
31|1|35|35.0|2024-05-09 11:47:29.365224
32|0|10|10.0|2024-05-09 11:47:29.477425
33|0|16|16.0|2024-05-09 11:47:29.950798
34|1|23|23.0|2024-05-09 11:47:30.040196
35|0|16|16.0|2024-05-09 11:47:30.444160
36|1|18|18.0|2024-05-09 11:47:30.594218
37|0|13|13.0|2024-05-09 11:47:30.826081
38|0|20|20.0|2024-05-09 11:47:31.389828
39|1|28|28.0|2024-05-09 11:47:31.390800
40|0|21|21.0|2024-05-09 11:47:31.990898
41|0|15|15.0|2024-05-09 11:47:32.414449
42|1|45|45.0|2024-05-09 11:47:32.670498
43|0|10|10.0|2024-05-09 11:47:32.700268
44|0|16|16.0|2024-05-09 11:47:33.151573
