episode|worker_id|eplen|score|ts
0|1|13|13.0|2024-05-16 13:15:09.335798
1|0|16|16.0|2024-05-16 13:15:09.450279
2|1|19|19.0|2024-05-16 13:15:10.056545
3|0|18|18.0|2024-05-16 13:15:10.133552
4|0|37|37.0|2024-05-16 13:15:11.533570
5|0|17|17.0|2024-05-16 13:15:12.175996
6|0|12|12.0|2024-05-16 13:15:12.632002
7|1|69|69.0|2024-05-16 13:15:12.670335
8|0|9|9.0|2024-05-16 13:15:12.973979
9|1|14|14.0|2024-05-16 13:15:13.199779
10|0|17|17.0|2024-05-16 13:15:13.615761
11|1|19|19.0|2024-05-16 13:15:13.919814
12|0|12|12.0|2024-05-16 13:15:14.077890
13|1|11|11.0|2024-05-16 13:15:14.362678
14|0|17|17.0|2024-05-16 13:15:14.767630
15|0|22|22.0|2024-05-16 13:15:15.645393
16|1|48|48.0|2024-05-16 13:15:16.284677
17|0|25|25.0|2024-05-16 13:15:16.644089
18|0|19|19.0|2024-05-16 13:15:17.399224
19|1|34|34.0|2024-05-16 13:15:17.640466
20|0|10|10.0|2024-05-16 13:15:17.800516
21|1|15|15.0|2024-05-16 13:15:18.239877
22|0|13|13.0|2024-05-16 13:15:18.320537
23|1|20|20.0|2024-05-16 13:15:50.866431
24|0|19|19.0|2024-05-16 13:15:50.907553
25|1|16|16.0|2024-05-16 13:15:51.515569
26|0|31|31.0|2024-05-16 13:15:52.158393
27|1|16|16.0|2024-05-16 13:15:52.159007
28|0|14|14.0|2024-05-16 13:15:52.723185
29|1|15|15.0|2024-05-16 13:15:52.763860
30|1|22|22.0|2024-05-16 13:15:53.649241
31|0|24|24.0|2024-05-16 13:15:53.691080
32|0|20|20.0|2024-05-16 13:15:54.492493
33|0|16|16.0|2024-05-16 13:15:55.137505
34|1|37|37.0|2024-05-16 13:15:55.138137
35|0|13|13.0|2024-05-16 13:15:55.663236
36|1|20|20.0|2024-05-16 13:15:55.941752
37|1|11|11.0|2024-05-16 13:15:56.383736
38|0|26|26.0|2024-05-16 13:15:56.706865
39|1|31|31.0|2024-05-16 13:15:57.629562
40|0|24|24.0|2024-05-16 13:15:57.670501
41|1|17|17.0|2024-05-16 13:15:58.314972
42|0|33|33.0|2024-05-16 13:15:59.001011
43|1|23|23.0|2024-05-16 13:15:59.238544
44|0|13|13.0|2024-05-16 13:15:59.520541
45|1|21|21.0|2024-05-16 13:16:00.089228
